engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1536	10000	86601093408	2297080166
baseline	1	mapAggregate	2	1536	10000	86601093408	2244334542
baseline	1	mapAggregate	3	1536	10000	86601093408	2302418125
baseline	1	mapAggregate	4	1536	10000	86601093408	2317802291
baseline	1	mapAggregate	5	1536	10000	86601093408	2285845750
candidate	1	mapAggregate	1	1536	10000	86601093408	2305432459
candidate	1	mapAggregate	2	1536	10000	86601093408	2320260875
candidate	1	mapAggregate	3	1536	10000	86601093408	2281343166
candidate	1	mapAggregate	4	1536	10000	86601093408	2282441958
candidate	1	mapAggregate	5	1536	10000	86601093408	2278989000
native	1	mapAggregate	1	1792	10000	101034608976	2272010000
native	1	mapAggregate	2	1792	10000	101034608976	2317131000
native	1	mapAggregate	3	1792	10000	101034608976	2288044000
native	1	mapAggregate	4	1792	10000	101034608976	2271944000
native	1	mapAggregate	5	1792	10000	101034608976	2278891000
candidate	2	mapAggregate	1	1536	10000	86601093408	2387049416
candidate	2	mapAggregate	2	1536	10000	86601093408	2346952542
candidate	2	mapAggregate	3	1536	10000	86601093408	2396299042
candidate	2	mapAggregate	4	1536	10000	86601093408	2363414000
candidate	2	mapAggregate	5	1536	10000	86601093408	2382821583
native	2	mapAggregate	1	1792	10000	101034608976	2253008000
native	2	mapAggregate	2	1792	10000	101034608976	2261982000
native	2	mapAggregate	3	1792	10000	101034608976	2252359000
native	2	mapAggregate	4	1792	10000	101034608976	2317580000
native	2	mapAggregate	5	1792	10000	101034608976	2278081000
baseline	2	mapAggregate	1	1536	10000	86601093408	2325366417
baseline	2	mapAggregate	2	1280	10000	72167577840	2028966625
baseline	2	mapAggregate	3	1536	10000	86601093408	2368546583
baseline	2	mapAggregate	4	1536	10000	86601093408	2331515834
baseline	2	mapAggregate	5	1536	10000	86601093408	2309582458
native	3	mapAggregate	1	1792	10000	101034608976	2263711000
native	3	mapAggregate	2	1792	10000	101034608976	2273761000
native	3	mapAggregate	3	1792	10000	101034608976	2276842000
native	3	mapAggregate	4	1792	10000	101034608976	2276526000
native	3	mapAggregate	5	1792	10000	101034608976	2267280000
baseline	3	mapAggregate	1	1280	10000	72167577840	2260207583
baseline	3	mapAggregate	2	1280	10000	72167577840	2261359083
baseline	3	mapAggregate	3	1280	10000	72167577840	2393372125
baseline	3	mapAggregate	4	1280	10000	72167577840	2396563291
baseline	3	mapAggregate	5	1280	10000	72167577840	2415005917
candidate	3	mapAggregate	1	1024	10000	57734062272	2276436583
candidate	3	mapAggregate	2	1024	10000	57734062272	2122975417
candidate	3	mapAggregate	3	1024	10000	57734062272	2058253042
candidate	3	mapAggregate	4	1024	10000	57734062272	2050002166
candidate	3	mapAggregate	5	1280	10000	72167577840	2353605916
