engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
thc-graal	1	sumLoop	1	1149184	10000	57551183560320	2000237542
thc-graal	1	sumLoop	2	1144320	10000	57307594233600	2000016209
thc-graal	1	sumLoop	3	1154560	10000	57820413868800	2000016209
thc-graal	1	sumLoop	4	1097984	10000	54987085384320	2000423583
thc-graal	1	sumLoop	5	929024	10000	46525561403520	2000023125
native-ghc	1	sumLoop	1	326144	10000	16333305381120	2000422000
native-ghc	1	sumLoop	2	343040	10000	17179457779200	2001426000
native-ghc	1	sumLoop	3	327168	10000	16384587344640	2000362000
native-ghc	1	sumLoop	4	328192	10000	16435869308160	2001622000
native-ghc	1	sumLoop	5	337664	10000	16910227470720	2001076000
thc-graal	2	sumLoop	1	686080	10000	34358915558400	2000013875
thc-graal	2	sumLoop	2	781056	10000	39115317674880	2000158625
thc-graal	2	sumLoop	3	824320	10000	41281980633600	2000104791
thc-graal	2	sumLoop	4	732416	10000	36679424407680	2000168916
thc-graal	2	sumLoop	5	663040	10000	33205071379200	2000120625
native-ghc	2	sumLoop	1	217600	10000	10897417248000	2001179000
native-ghc	2	sumLoop	2	258560	10000	12948695788800	2001372000
native-ghc	2	sumLoop	3	319488	10000	15999972618240	2000056000
native-ghc	2	sumLoop	4	343296	10000	17192278270080	2001140000
native-ghc	2	sumLoop	5	332544	10000	16653817653120	2000812000
thc-graal	3	sumLoop	1	844544	10000	42294799413120	2000138042
thc-graal	3	sumLoop	2	854016	10000	42769157575680	2000165041
thc-graal	3	sumLoop	3	887552	10000	44448641880960	2000021667
thc-graal	3	sumLoop	4	885248	10000	44333257463040	2000103333
thc-graal	3	sumLoop	5	877824	10000	43961463227520	2000019917
native-ghc	3	sumLoop	1	334592	10000	16756381580160	2001097000
native-ghc	3	sumLoop	2	348416	10000	17448688087680	2001063000
native-ghc	3	sumLoop	3	323840	10000	16217920963200	2000257000
native-ghc	3	sumLoop	4	303872	10000	15217922674560	2000649000
native-ghc	3	sumLoop	5	311296	10000	15589716910080	2001423000
thc-graal	1	fib	1	7680	12	246718080	2029480875
thc-graal	1	fib	2	7680	12	246718080	2000309666
thc-graal	1	fib	3	6144	12	197374464	2085209583
thc-graal	1	fib	4	2048	12	65791488	2122049958
thc-graal	1	fib	5	3584	12	115135104	2119069417
native-ghc	1	fib	1	6144	12	197374464	2028372000
native-ghc	1	fib	2	11264	12	361853184	2005931000
native-ghc	1	fib	3	12288	12	394748928	2011835000
native-ghc	1	fib	4	11008	12	353629248	2026331000
native-ghc	1	fib	5	10240	12	328957440	2019845000
thc-graal	2	fib	1	7424	12	238494144	2010285958
thc-graal	2	fib	2	8192	12	263165952	2043682791
thc-graal	2	fib	3	7168	12	230270208	2038782500
thc-graal	2	fib	4	7680	12	246718080	2052606750
thc-graal	2	fib	5	8448	12	271389888	2062946292
native-ghc	2	fib	1	12288	12	394748928	2041497000
