engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
thc-graal	1	sumLoop	1	1166592	10000	58422976940160	2000424250
thc-graal	1	sumLoop	2	1165056	10000	58346053994880	2000091959
thc-graal	1	sumLoop	3	1124352	10000	56307595944960	2000195209
thc-graal	1	sumLoop	4	1163008	10000	58243490067840	2000108708
thc-graal	1	sumLoop	5	1165568	10000	58371694976640	2000173458
native-ghc	1	sumLoop	1	356864	10000	17871764286720	2000014000
native-ghc	1	sumLoop	2	343040	10000	17179457779200	2000430000
native-ghc	1	sumLoop	3	346624	10000	17358944651520	2000552000
native-ghc	1	sumLoop	4	374528	10000	18756378157440	2000661000
native-ghc	1	sumLoop	5	374528	10000	18756378157440	2000112000
thc-graal	2	sumLoop	1	1149440	10000	57564004051200	2000325208
thc-graal	2	sumLoop	2	1151232	10000	57653747487360	2000321791
thc-graal	2	sumLoop	3	1145856	10000	57384517178880	2000125500
thc-graal	2	sumLoop	4	1095424	10000	54858880475520	2000357959
thc-graal	2	sumLoop	5	1004800	10000	50320426704000	2000336042
native-ghc	2	sumLoop	1	314112	10000	15730742309760	2001157000
native-ghc	2	sumLoop	2	332800	10000	16666638144000	2001043000
native-ghc	2	sumLoop	3	352256	10000	17640995450880	2000122000
native-ghc	2	sumLoop	4	344320	10000	17243560233600	2001322000
native-ghc	2	sumLoop	5	354816	10000	17769200359680	2000673000
thc-graal	3	sumLoop	1	861184	10000	43128131320320	2000132666
thc-graal	3	sumLoop	2	1026304	10000	51397347937920	2000390667
thc-graal	3	sumLoop	3	1099264	10000	55051187838720	2000270291
thc-graal	3	sumLoop	4	1130496	10000	56615287726080	2000326084
thc-graal	3	sumLoop	5	1160192	10000	58102464668160	2000297750
native-ghc	3	sumLoop	1	374784	10000	18769198648320	2000728000
native-ghc	3	sumLoop	2	375296	10000	18794839630080	2000348000
native-ghc	3	sumLoop	3	369920	10000	18525609321600	2000777000
native-ghc	3	sumLoop	4	370176	10000	18538429812480	2000391000
native-ghc	3	sumLoop	5	371968	10000	18628173248640	2001057000
thc-graal	1	fib	1	12544	12	402972864	2026694125
thc-graal	1	fib	2	12544	12	402972864	2019246375
thc-graal	1	fib	3	12544	12	402972864	2018449834
thc-graal	1	fib	4	12544	12	402972864	2020898541
thc-graal	1	fib	5	12544	12	402972864	2021193250
native-ghc	1	fib	1	14336	12	460540416	2018554000
native-ghc	1	fib	2	14080	12	452316480	2016735000
native-ghc	1	fib	3	14080	12	452316480	2000955000
native-ghc	1	fib	4	14336	12	460540416	2029559000
native-ghc	1	fib	5	14080	12	452316480	2002181000
thc-graal	2	fib	1	12288	12	394748928	2028663917
thc-graal	2	fib	2	12032	12	386524992	2044704792
thc-graal	2	fib	3	12544	12	402972864	2042013333
thc-graal	2	fib	4	12032	12	386524992	2026550459
thc-graal	2	fib	5	8704	12	279613824	2071957208
native-ghc	2	fib	1	11008	12	353629248	2069786000
native-ghc	2	fib	2	12544	12	402972864	2019043000
native-ghc	2	fib	3	14336	12	460540416	2011521000
native-ghc	2	fib	4	14336	12	460540416	2016008000
native-ghc	2	fib	5	14336	12	460540416	2030150000
thc-graal	3	fib	1	12288	12	394748928	2038481500
thc-graal	3	fib	2	12288	12	394748928	2032690417
thc-graal	3	fib	3	11776	12	378301056	2011683417
thc-graal	3	fib	4	11008	12	353629248	2002731625
thc-graal	3	fib	5	12288	12	394748928	2003327959
native-ghc	3	fib	1	14336	12	460540416	2031861000
native-ghc	3	fib	2	14080	12	452316480	2026030000
native-ghc	3	fib	3	14080	12	452316480	2001477000
native-ghc	3	fib	4	14336	12	460540416	2016969000
native-ghc	3	fib	5	14336	12	460540416	2019337000
thc-graal	1	under	1	53006080	100	6069196160	2000006083
thc-graal	1	under	2	54359040	100	6224110080	2000007125
thc-graal	1	under	3	52550656	100	6017050112	2000003083
thc-graal	1	under	4	53376768	100	6111639936	2000008834
thc-graal	1	under	5	54461184	100	6235805568	2000007333
native-ghc	1	under	1	475134976	100	54402954752	2000000000
native-ghc	1	under	2	478782208	100	54820562816	2000000000
native-ghc	1	under	3	478347520	100	54770791040	2000000000
native-ghc	1	under	4	479307264	100	54880681728	2000000000
native-ghc	1	under	5	479160064	100	54863827328	2000000000
thc-graal	2	under	1	26269440	100	3007850880	2000005125
thc-graal	2	under	2	43085312	100	4933268224	2000003375
thc-graal	2	under	3	50360576	100	5766285952	2000002000
thc-graal	2	under	4	53041408	100	6073241216	2000002792
thc-graal	2	under	5	54661376	100	6258727552	2000005666
native-ghc	2	under	1	477307392	100	54651696384	2000000000
native-ghc	2	under	2	473749760	100	54244347520	2000000000
native-ghc	2	under	3	476444672	100	54552914944	2000000000
native-ghc	2	under	4	476987136	100	54615027072	2000000000
native-ghc	2	under	5	479157760	100	54863563520	2000000000
thc-graal	3	under	1	53669120	100	6145114240	2000001500
thc-graal	3	under	2	54806016	100	6275288832	2000008000
thc-graal	3	under	3	54242816	100	6210802432	2000000208
thc-graal	3	under	4	54919168	100	6288244736	2000000000
thc-graal	3	under	5	54838016	100	6278952832	2000004042
native-ghc	3	under	1	478278912	100	54762935424	2000000000
native-ghc	3	under	2	477453568	100	54668433536	2000000000
native-ghc	3	under	3	475904000	100	54491008000	2000000000
native-ghc	3	under	4	477943552	100	54724536704	2000000000
native-ghc	3	under	5	475845376	100	54484295552	2000000000
thc-graal	1	caseList	1	422656	100	2469367680	2004193083
thc-graal	1	caseList	2	348672	100	2037116160	2001248209
thc-graal	1	caseList	3	461312	100	2695215360	2000746709
thc-graal	1	caseList	4	618752	100	3615058560	2000594709
thc-graal	1	caseList	5	658944	100	3849880320	2000054125
native-ghc	1	caseList	1	5121792	100	29924069760	2000032000
native-ghc	1	caseList	2	5207552	100	30425122560	2000010000
native-ghc	1	caseList	3	5269504	100	30787077120	2000024000
native-ghc	1	caseList	4	5277952	100	30836434560	2000004000
native-ghc	1	caseList	5	5351168	100	31264199040	2000082000
thc-graal	2	caseList	1	159744	100	933304320	2001635458
thc-graal	2	caseList	2	245504	100	1434357120	2000104500
thc-graal	2	caseList	3	258304	100	1509141120	2000345250
thc-graal	2	caseList	4	185344	100	1082872320	2000560375
thc-graal	2	caseList	5	201728	100	1178595840	2001986625
native-ghc	2	caseList	1	1607168	100	9389879040	2000083000
native-ghc	2	caseList	2	1759488	100	10279808640	2000317000
native-ghc	2	caseList	3	2200320	100	12855369600	2000045000
native-ghc	2	caseList	4	2573824	100	15037566720	2000012000
native-ghc	2	caseList	5	2072320	100	12107529600	2000313000
thc-graal	3	caseList	1	120064	100	701473920	2000044792
thc-graal	3	caseList	2	221952	100	1296754560	2002071167
thc-graal	3	caseList	3	273408	100	1597386240	2001075625
thc-graal	3	caseList	4	314368	100	1836695040	2000020875
thc-graal	3	caseList	5	162560	100	949756800	2018657250
native-ghc	3	caseList	1	636672	100	3719756160	2000244000
native-ghc	3	caseList	2	1523968	100	8903783040	2000248000
native-ghc	3	caseList	3	1870336	100	10927438080	2000011000
native-ghc	3	caseList	4	2692608	100	15731562240	2000120000
native-ghc	3	caseList	5	2840576	100	16596065280	2000141000
