engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1280	10000	72167577840	2074655613
baseline	1	mapAggregate	2	1280	10000	72167577840	2072806690
baseline	1	mapAggregate	3	1280	10000	72167577840	2074642857
baseline	1	mapAggregate	4	1280	10000	72167577840	2072159797
baseline	1	mapAggregate	5	1280	10000	72167577840	2075549065
candidate	1	mapAggregate	1	1280	10000	72167577840	2061753658
candidate	1	mapAggregate	2	1280	10000	72167577840	2061869990
candidate	1	mapAggregate	3	1280	10000	72167577840	2052915528
candidate	1	mapAggregate	4	1280	10000	72167577840	2057501254
candidate	1	mapAggregate	5	1280	10000	72167577840	2064070395
native	1	mapAggregate	1	1536	10000	86601093408	2059840585
native	1	mapAggregate	2	1536	10000	86601093408	2057779927
native	1	mapAggregate	3	1536	10000	86601093408	2058573928
native	1	mapAggregate	4	1536	10000	86601093408	2057086160
native	1	mapAggregate	5	1536	10000	86601093408	2056080396
candidate	2	mapAggregate	1	1280	10000	72167577840	2055522330
candidate	2	mapAggregate	2	1280	10000	72167577840	2059951321
candidate	2	mapAggregate	3	1280	10000	72167577840	2058022322
candidate	2	mapAggregate	4	1280	10000	72167577840	2058244302
candidate	2	mapAggregate	5	1280	10000	72167577840	2058670684
native	2	mapAggregate	1	1536	10000	86601093408	2064804835
native	2	mapAggregate	2	1536	10000	86601093408	2056886308
native	2	mapAggregate	3	1536	10000	86601093408	2054006653
native	2	mapAggregate	4	1536	10000	86601093408	2066845327
native	2	mapAggregate	5	1536	10000	86601093408	2057934910
baseline	2	mapAggregate	1	1280	10000	72167577840	2078126008
baseline	2	mapAggregate	2	1280	10000	72167577840	2071528560
baseline	2	mapAggregate	3	1280	10000	72167577840	2072751585
baseline	2	mapAggregate	4	1280	10000	72167577840	2071483130
baseline	2	mapAggregate	5	1280	10000	72167577840	2081572945
native	3	mapAggregate	1	1536	10000	86601093408	2054239704
native	3	mapAggregate	2	1536	10000	86601093408	2055752281
native	3	mapAggregate	3	1536	10000	86601093408	2058388864
native	3	mapAggregate	4	1536	10000	86601093408	2058756996
native	3	mapAggregate	5	1536	10000	86601093408	2061785273
baseline	3	mapAggregate	1	1280	10000	72167577840	2082263463
baseline	3	mapAggregate	2	1280	10000	72167577840	2084977578
baseline	3	mapAggregate	3	1280	10000	72167577840	2082969825
baseline	3	mapAggregate	4	1280	10000	72167577840	2082037667
baseline	3	mapAggregate	5	1280	10000	72167577840	2085543221
candidate	3	mapAggregate	1	1280	10000	72167577840	2056912147
candidate	3	mapAggregate	2	1280	10000	72167577840	2059089073
candidate	3	mapAggregate	3	1280	10000	72167577840	2061628025
candidate	3	mapAggregate	4	1280	10000	72167577840	2058084024
candidate	3	mapAggregate	5	1280	10000	72167577840	2058705018
