engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1280	10000	72167577840	2052006209
baseline	1	mapAggregate	2	1280	10000	72167577840	2044928318
baseline	1	mapAggregate	3	1280	10000	72167577840	2040061386
baseline	1	mapAggregate	4	1280	10000	72167577840	2044888182
baseline	1	mapAggregate	5	1280	10000	72167577840	2044516714
candidate	1	mapAggregate	1	1280	10000	72167577840	2059499069
candidate	1	mapAggregate	2	1280	10000	72167577840	2054732312
candidate	1	mapAggregate	3	1280	10000	72167577840	2051071294
candidate	1	mapAggregate	4	1280	10000	72167577840	2054366260
candidate	1	mapAggregate	5	1280	10000	72167577840	2053495871
native	1	mapAggregate	1	1536	10000	86601093408	2062336684
native	1	mapAggregate	2	1536	10000	86601093408	2064527907
native	1	mapAggregate	3	1536	10000	86601093408	2063275033
native	1	mapAggregate	4	1536	10000	86601093408	2063554036
native	1	mapAggregate	5	1536	10000	86601093408	2064305496
candidate	2	mapAggregate	1	1280	10000	72167577840	2060508098
candidate	2	mapAggregate	2	1280	10000	72167577840	2057723298
candidate	2	mapAggregate	3	1280	10000	72167577840	2051308800
candidate	2	mapAggregate	4	1280	10000	72167577840	2050106941
candidate	2	mapAggregate	5	1280	10000	72167577840	2060987417
native	2	mapAggregate	1	1536	10000	86601093408	2069441279
native	2	mapAggregate	2	1536	10000	86601093408	2066023000
native	2	mapAggregate	3	1536	10000	86601093408	2063677580
native	2	mapAggregate	4	1536	10000	86601093408	2060023878
native	2	mapAggregate	5	1536	10000	86601093408	2061006859
baseline	2	mapAggregate	1	1280	10000	72167577840	2047168339
baseline	2	mapAggregate	2	1280	10000	72167577840	2047801313
baseline	2	mapAggregate	3	1280	10000	72167577840	2048011145
baseline	2	mapAggregate	4	1280	10000	72167577840	2048883277
baseline	2	mapAggregate	5	1280	10000	72167577840	2045289654
native	3	mapAggregate	1	1536	10000	86601093408	2062936999
native	3	mapAggregate	2	1536	10000	86601093408	2058004957
native	3	mapAggregate	3	1536	10000	86601093408	2063312426
native	3	mapAggregate	4	1536	10000	86601093408	2064021650
native	3	mapAggregate	5	1536	10000	86601093408	2066560408
baseline	3	mapAggregate	1	1280	10000	72167577840	2032358530
baseline	3	mapAggregate	2	1280	10000	72167577840	2030582178
baseline	3	mapAggregate	3	1280	10000	72167577840	2034790322
baseline	3	mapAggregate	4	1280	10000	72167577840	2035144534
baseline	3	mapAggregate	5	1280	10000	72167577840	2033142046
candidate	3	mapAggregate	1	1280	10000	72167577840	2058693192
candidate	3	mapAggregate	2	1280	10000	72167577840	2057380422
candidate	3	mapAggregate	3	1280	10000	72167577840	2057138343
candidate	3	mapAggregate	4	1280	10000	72167577840	2058568913
candidate	3	mapAggregate	5	1280	10000	72167577840	2062730743
