engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1280	10000	72167577840	2124448551
baseline	1	mapAggregate	2	1280	10000	72167577840	2125833488
baseline	1	mapAggregate	3	1280	10000	72167577840	2130870637
baseline	1	mapAggregate	4	1280	10000	72167577840	2127937255
baseline	1	mapAggregate	5	1280	10000	72167577840	2125985172
candidate	1	mapAggregate	1	1280	10000	72167577840	2081364397
candidate	1	mapAggregate	2	1280	10000	72167577840	2080024831
candidate	1	mapAggregate	3	1280	10000	72167577840	2079102607
candidate	1	mapAggregate	4	1280	10000	72167577840	2080625563
candidate	1	mapAggregate	5	1280	10000	72167577840	2080277192
native	1	mapAggregate	1	1536	10000	86601093408	2049647341
native	1	mapAggregate	2	1536	10000	86601093408	2056752962
native	1	mapAggregate	3	1536	10000	86601093408	2057930230
native	1	mapAggregate	4	1536	10000	86601093408	2056616665
native	1	mapAggregate	5	1536	10000	86601093408	2057238306
candidate	2	mapAggregate	1	1280	10000	72167577840	2069277084
candidate	2	mapAggregate	2	1280	10000	72167577840	2071381859
candidate	2	mapAggregate	3	1280	10000	72167577840	2069959627
candidate	2	mapAggregate	4	1280	10000	72167577840	2071112094
candidate	2	mapAggregate	5	1280	10000	72167577840	2071176646
native	2	mapAggregate	1	1536	10000	86601093408	2062612119
native	2	mapAggregate	2	1536	10000	86601093408	2063662987
native	2	mapAggregate	3	1536	10000	86601093408	2061656741
native	2	mapAggregate	4	1536	10000	86601093408	2066964255
native	2	mapAggregate	5	1536	10000	86601093408	2063938268
baseline	2	mapAggregate	1	1280	10000	72167577840	2121277295
baseline	2	mapAggregate	2	1280	10000	72167577840	2168072101
baseline	2	mapAggregate	3	1280	10000	72167577840	2124616150
baseline	2	mapAggregate	4	1280	10000	72167577840	2122098786
baseline	2	mapAggregate	5	1280	10000	72167577840	2122794973
native	3	mapAggregate	1	1536	10000	86601093408	2054457403
native	3	mapAggregate	2	1536	10000	86601093408	2054941130
native	3	mapAggregate	3	1536	10000	86601093408	2055953489
native	3	mapAggregate	4	1536	10000	86601093408	2061158980
native	3	mapAggregate	5	1536	10000	86601093408	2059766151
baseline	3	mapAggregate	1	1280	10000	72167577840	2132080598
baseline	3	mapAggregate	2	1280	10000	72167577840	2129645748
baseline	3	mapAggregate	3	1280	10000	72167577840	2132493250
baseline	3	mapAggregate	4	1280	10000	72167577840	2132768820
baseline	3	mapAggregate	5	1280	10000	72167577840	2130684341
candidate	3	mapAggregate	1	1280	10000	72167577840	2075610083
candidate	3	mapAggregate	2	1280	10000	72167577840	2074445359
candidate	3	mapAggregate	3	1280	10000	72167577840	2073348383
candidate	3	mapAggregate	4	1280	10000	72167577840	2072566244
candidate	3	mapAggregate	5	1280	10000	72167577840	2076335837
