engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1280	10000	72167577840	2031988489
baseline	1	mapAggregate	2	1280	10000	72167577840	2021283383
baseline	1	mapAggregate	3	1280	10000	72167577840	2037194437
baseline	1	mapAggregate	4	1280	10000	72167577840	2034109148
baseline	1	mapAggregate	5	1280	10000	72167577840	2034608487
candidate	1	mapAggregate	1	1280	10000	72167577840	2037664678
candidate	1	mapAggregate	2	1280	10000	72167577840	2031864007
candidate	1	mapAggregate	3	1280	10000	72167577840	2040700701
candidate	1	mapAggregate	4	1280	10000	72167577840	2036415433
candidate	1	mapAggregate	5	1280	10000	72167577840	2042659264
native	1	mapAggregate	1	1536	10000	86601093408	2062979661
native	1	mapAggregate	2	1536	10000	86601093408	2065954119
native	1	mapAggregate	3	1536	10000	86601093408	2062387840
native	1	mapAggregate	4	1536	10000	86601093408	2055600216
native	1	mapAggregate	5	1536	10000	86601093408	2062297014
candidate	2	mapAggregate	1	1280	10000	72167577840	2039534802
candidate	2	mapAggregate	2	1280	10000	72167577840	2045980933
candidate	2	mapAggregate	3	1280	10000	72167577840	2041124273
candidate	2	mapAggregate	4	1280	10000	72167577840	2036252908
candidate	2	mapAggregate	5	1280	10000	72167577840	2038351733
native	2	mapAggregate	1	1536	10000	86601093408	2063628616
native	2	mapAggregate	2	1536	10000	86601093408	2064811356
native	2	mapAggregate	3	1536	10000	86601093408	2065809234
native	2	mapAggregate	4	1536	10000	86601093408	2069265142
native	2	mapAggregate	5	1536	10000	86601093408	2066186616
baseline	2	mapAggregate	1	1280	10000	72167577840	2035487549
baseline	2	mapAggregate	2	1280	10000	72167577840	2032156688
baseline	2	mapAggregate	3	1280	10000	72167577840	2035667806
baseline	2	mapAggregate	4	1280	10000	72167577840	2038979300
baseline	2	mapAggregate	5	1280	10000	72167577840	2033965240
native	3	mapAggregate	1	1536	10000	86601093408	2063351458
native	3	mapAggregate	2	1536	10000	86601093408	2054785558
native	3	mapAggregate	3	1536	10000	86601093408	2065201617
native	3	mapAggregate	4	1536	10000	86601093408	2063403207
native	3	mapAggregate	5	1536	10000	86601093408	2062983214
baseline	3	mapAggregate	1	1280	10000	72167577840	2028846031
baseline	3	mapAggregate	2	1280	10000	72167577840	2028685261
baseline	3	mapAggregate	3	1280	10000	72167577840	2029521189
baseline	3	mapAggregate	4	1280	10000	72167577840	2029086263
baseline	3	mapAggregate	5	1280	10000	72167577840	2020289655
candidate	3	mapAggregate	1	1280	10000	72167577840	2040510690
candidate	3	mapAggregate	2	1280	10000	72167577840	2043734236
candidate	3	mapAggregate	3	1280	10000	72167577840	2041140232
candidate	3	mapAggregate	4	1280	10000	72167577840	2038206799
candidate	3	mapAggregate	5	1280	10000	72167577840	2033652506
