engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1280	10000	72167577840	2188075136
baseline	1	mapAggregate	2	1280	10000	72167577840	2188780933
baseline	1	mapAggregate	3	1280	10000	72167577840	2197789142
baseline	1	mapAggregate	4	1280	10000	72167577840	2185741844
baseline	1	mapAggregate	5	1280	10000	72167577840	2187473183
candidate	1	mapAggregate	1	1280	10000	72167577840	2030669295
candidate	1	mapAggregate	2	1280	10000	72167577840	2042354818
candidate	1	mapAggregate	3	1280	10000	72167577840	2036828625
candidate	1	mapAggregate	4	1280	10000	72167577840	2033522671
candidate	1	mapAggregate	5	1280	10000	72167577840	2037521674
native	1	mapAggregate	1	1536	10000	86601093408	2063783443
native	1	mapAggregate	2	1536	10000	86601093408	2060550977
native	1	mapAggregate	3	1536	10000	86601093408	2061411939
native	1	mapAggregate	4	1536	10000	86601093408	2066168160
native	1	mapAggregate	5	1536	10000	86601093408	2064846226
candidate	2	mapAggregate	1	1280	10000	72167577840	2031270717
candidate	2	mapAggregate	2	1280	10000	72167577840	2028886917
candidate	2	mapAggregate	3	1280	10000	72167577840	2035057375
candidate	2	mapAggregate	4	1280	10000	72167577840	2031071034
candidate	2	mapAggregate	5	1280	10000	72167577840	2033840525
native	2	mapAggregate	1	1536	10000	86601093408	2060891300
native	2	mapAggregate	2	1536	10000	86601093408	2064022410
native	2	mapAggregate	3	1536	10000	86601093408	2061672458
native	2	mapAggregate	4	1536	10000	86601093408	2055140852
native	2	mapAggregate	5	1536	10000	86601093408	2061105434
baseline	2	mapAggregate	1	1280	10000	72167577840	2185065542
baseline	2	mapAggregate	2	1280	10000	72167577840	2175597502
baseline	2	mapAggregate	3	1280	10000	72167577840	2177462830
baseline	2	mapAggregate	4	1280	10000	72167577840	2177583333
baseline	2	mapAggregate	5	1280	10000	72167577840	2173264318
native	3	mapAggregate	1	1536	10000	86601093408	2059695867
native	3	mapAggregate	2	1536	10000	86601093408	2060441560
native	3	mapAggregate	3	1536	10000	86601093408	2058362242
native	3	mapAggregate	4	1536	10000	86601093408	2058634228
native	3	mapAggregate	5	1536	10000	86601093408	2053971088
baseline	3	mapAggregate	1	1280	10000	72167577840	2183198556
baseline	3	mapAggregate	2	1280	10000	72167577840	2241938364
baseline	3	mapAggregate	3	1280	10000	72167577840	2181442588
baseline	3	mapAggregate	4	1280	10000	72167577840	2230855421
baseline	3	mapAggregate	5	1280	10000	72167577840	2179702273
candidate	3	mapAggregate	1	1280	10000	72167577840	2042683191
candidate	3	mapAggregate	2	1280	10000	72167577840	2047466490
candidate	3	mapAggregate	3	1280	10000	72167577840	2042142453
candidate	3	mapAggregate	4	1280	10000	72167577840	2043299905
candidate	3	mapAggregate	5	1280	10000	72167577840	2046320433
