engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1280	10000	72167577840	2046161363
baseline	1	mapAggregate	2	1280	10000	72167577840	2046231644
baseline	1	mapAggregate	3	1280	10000	72167577840	2048328700
baseline	1	mapAggregate	4	1280	10000	72167577840	2044929198
baseline	1	mapAggregate	5	1280	10000	72167577840	2045882840
candidate	1	mapAggregate	1	1280	10000	72167577840	2243295056
candidate	1	mapAggregate	2	1280	10000	72167577840	2251966879
candidate	1	mapAggregate	3	1280	10000	72167577840	2249378283
candidate	1	mapAggregate	4	1280	10000	72167577840	2245998093
candidate	1	mapAggregate	5	1280	10000	72167577840	2245485946
native	1	mapAggregate	1	1536	10000	86601093408	2058260594
native	1	mapAggregate	2	1536	10000	86601093408	2060853428
native	1	mapAggregate	3	1536	10000	86601093408	2061916831
native	1	mapAggregate	4	1536	10000	86601093408	2064341033
native	1	mapAggregate	5	1536	10000	86601093408	2061048434
candidate	2	mapAggregate	1	1280	10000	72167577840	2255935673
candidate	2	mapAggregate	2	1280	10000	72167577840	2254616166
candidate	2	mapAggregate	3	1280	10000	72167577840	2254645619
candidate	2	mapAggregate	4	1280	10000	72167577840	2257230894
candidate	2	mapAggregate	5	1280	10000	72167577840	2254348910
native	2	mapAggregate	1	1536	10000	86601093408	2063842905
native	2	mapAggregate	2	1536	10000	86601093408	2062909077
native	2	mapAggregate	3	1536	10000	86601093408	2065616586
native	2	mapAggregate	4	1536	10000	86601093408	2063587317
native	2	mapAggregate	5	1536	10000	86601093408	2061486973
baseline	2	mapAggregate	1	1280	10000	72167577840	2047434998
baseline	2	mapAggregate	2	1280	10000	72167577840	2045099557
baseline	2	mapAggregate	3	1280	10000	72167577840	2045831348
baseline	2	mapAggregate	4	1280	10000	72167577840	2048007448
baseline	2	mapAggregate	5	1280	10000	72167577840	2048874777
native	3	mapAggregate	1	1536	10000	86601093408	2066149242
native	3	mapAggregate	2	1536	10000	86601093408	2066037748
native	3	mapAggregate	3	1536	10000	86601093408	2066690192
native	3	mapAggregate	4	1536	10000	86601093408	2065701075
native	3	mapAggregate	5	1536	10000	86601093408	2056792664
baseline	3	mapAggregate	1	1280	10000	72167577840	2039676056
baseline	3	mapAggregate	2	1280	10000	72167577840	2042984787
baseline	3	mapAggregate	3	1280	10000	72167577840	2036418746
baseline	3	mapAggregate	4	1280	10000	72167577840	2042255625
baseline	3	mapAggregate	5	1280	10000	72167577840	2045152513
candidate	3	mapAggregate	1	1280	10000	72167577840	2242199725
candidate	3	mapAggregate	2	1280	10000	72167577840	2241027340
candidate	3	mapAggregate	3	1280	10000	72167577840	2241769695
candidate	3	mapAggregate	4	1280	10000	72167577840	2242406824
candidate	3	mapAggregate	5	1280	10000	72167577840	2239737944
