engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1280	10000	72167577840	2023577167
baseline	1	mapAggregate	2	1536	10000	86601093408	2361611709
baseline	1	mapAggregate	3	1536	10000	86601093408	2405545625
baseline	1	mapAggregate	4	1280	10000	72167577840	2080638083
baseline	1	mapAggregate	5	1280	10000	72167577840	2029714791
candidate	1	mapAggregate	1	1536	10000	86601093408	2092356000
candidate	1	mapAggregate	2	1536	10000	86601093408	2095409542
candidate	1	mapAggregate	3	1792	10000	101034608976	2341809416
candidate	1	mapAggregate	4	1536	10000	86601093408	2024513459
candidate	1	mapAggregate	5	1536	10000	86601093408	2101378333
native	1	mapAggregate	1	1792	10000	101034608976	2264922000
native	1	mapAggregate	2	1792	10000	101034608976	2254263000
native	1	mapAggregate	3	1792	10000	101034608976	2294252000
native	1	mapAggregate	4	1792	10000	101034608976	2264838000
native	1	mapAggregate	5	1792	10000	101034608976	2268402000
candidate	2	mapAggregate	1	1536	10000	86601093408	2245739334
candidate	2	mapAggregate	2	1536	10000	86601093408	2284369542
candidate	2	mapAggregate	3	1536	10000	86601093408	2271249708
candidate	2	mapAggregate	4	1536	10000	86601093408	2485220459
candidate	2	mapAggregate	5	1280	10000	72167577840	2004802791
native	2	mapAggregate	1	1792	10000	101034608976	2282714000
native	2	mapAggregate	2	1792	10000	101034608976	2272913000
native	2	mapAggregate	3	1792	10000	101034608976	2241677000
native	2	mapAggregate	4	1792	10000	101034608976	2278825000
native	2	mapAggregate	5	1792	10000	101034608976	2271223000
baseline	2	mapAggregate	1	1280	10000	72167577840	2212611875
baseline	2	mapAggregate	2	1280	10000	72167577840	2260633958
baseline	2	mapAggregate	3	1280	10000	72167577840	2244836666
baseline	2	mapAggregate	4	1280	10000	72167577840	2259000666
baseline	2	mapAggregate	5	1280	10000	72167577840	2165033417
native	3	mapAggregate	1	1536	10000	86601093408	2065521000
native	3	mapAggregate	2	1536	10000	86601093408	2035172000
native	3	mapAggregate	3	1536	10000	86601093408	2024044000
native	3	mapAggregate	4	1536	10000	86601093408	2044859000
native	3	mapAggregate	5	1792	10000	101034608976	2329165000
baseline	3	mapAggregate	1	1280	10000	72167577840	2331589958
baseline	3	mapAggregate	2	1280	10000	72167577840	2353534250
baseline	3	mapAggregate	3	1024	10000	57734062272	2025053750
baseline	3	mapAggregate	4	1280	10000	72167577840	2431193750
baseline	3	mapAggregate	5	1280	10000	72167577840	2398229042
candidate	3	mapAggregate	1	1536	10000	86601093408	2376251375
candidate	3	mapAggregate	2	1536	10000	86601093408	2370276208
candidate	3	mapAggregate	3	1280	10000	72167577840	2030365250
candidate	3	mapAggregate	4	1536	10000	86601093408	2384382833
candidate	3	mapAggregate	5	1280	10000	72167577840	2055453333
