engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1024	10000	57734062272	2417199167
baseline	1	mapAggregate	2	1024	10000	57734062272	2426704167
baseline	1	mapAggregate	3	1024	10000	57734062272	2413130084
baseline	1	mapAggregate	4	1024	10000	57734062272	2418247917
baseline	1	mapAggregate	5	1024	10000	57734062272	2385258333
candidate	1	mapAggregate	1	1280	10000	72167577840	2009356833
candidate	1	mapAggregate	2	1536	10000	86601093408	2379117542
candidate	1	mapAggregate	3	1280	10000	72167577840	2086792500
candidate	1	mapAggregate	4	1280	10000	72167577840	2158586375
candidate	1	mapAggregate	5	1280	10000	72167577840	2338342458
native	1	mapAggregate	1	1792	10000	101034608976	2293577000
native	1	mapAggregate	2	1792	10000	101034608976	2308458000
native	1	mapAggregate	3	1536	10000	86601093408	2153377000
native	1	mapAggregate	4	1792	10000	101034608976	2273811000
native	1	mapAggregate	5	1792	10000	101034608976	2252796000
candidate	2	mapAggregate	1	1536	10000	86601093408	2251239458
candidate	2	mapAggregate	2	1536	10000	86601093408	2277803792
candidate	2	mapAggregate	3	1536	10000	86601093408	2254477625
candidate	2	mapAggregate	4	1536	10000	86601093408	2186345583
candidate	2	mapAggregate	5	1536	10000	86601093408	2247974500
native	2	mapAggregate	1	1792	10000	101034608976	2272645000
native	2	mapAggregate	2	1792	10000	101034608976	2290298000
native	2	mapAggregate	3	1792	10000	101034608976	2258710000
native	2	mapAggregate	4	1792	10000	101034608976	2269529000
native	2	mapAggregate	5	1792	10000	101034608976	2276245000
baseline	2	mapAggregate	1	1024	10000	57734062272	2408040958
baseline	2	mapAggregate	2	1024	10000	57734062272	2390018250
baseline	2	mapAggregate	3	1024	10000	57734062272	2459172834
baseline	2	mapAggregate	4	1024	10000	57734062272	2412028208
baseline	2	mapAggregate	5	1024	10000	57734062272	2624265042
native	3	mapAggregate	1	1536	10000	86601093408	2018866000
native	3	mapAggregate	2	1792	10000	101034608976	2305246000
native	3	mapAggregate	3	1792	10000	101034608976	2291763000
native	3	mapAggregate	4	1792	10000	101034608976	2247635000
native	3	mapAggregate	5	1536	10000	86601093408	2067725000
baseline	3	mapAggregate	1	1024	10000	57734062272	2428864667
baseline	3	mapAggregate	2	1024	10000	57734062272	2469813584
baseline	3	mapAggregate	3	1024	10000	57734062272	2411012875
baseline	3	mapAggregate	4	1024	10000	57734062272	2420324750
baseline	3	mapAggregate	5	1024	10000	57734062272	2393924708
candidate	3	mapAggregate	1	1536	10000	86601093408	2340054333
candidate	3	mapAggregate	2	1536	10000	86601093408	2333090750
candidate	3	mapAggregate	3	1536	10000	86601093408	2317197583
candidate	3	mapAggregate	4	1536	10000	86601093408	2350515375
candidate	3	mapAggregate	5	1536	10000	86601093408	2393700500
