engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1024	10000	57734062272	2547912500
baseline	1	mapAggregate	2	1024	10000	57734062272	2578537625
baseline	1	mapAggregate	3	1024	10000	57734062272	2561316250
baseline	1	mapAggregate	4	1024	10000	57734062272	2566332542
baseline	1	mapAggregate	5	1024	10000	57734062272	2560078042
candidate	1	mapAggregate	1	1024	10000	57734062272	2559777542
candidate	1	mapAggregate	2	1024	10000	57734062272	2527939250
candidate	1	mapAggregate	3	1024	10000	57734062272	2531755291
candidate	1	mapAggregate	4	1024	10000	57734062272	2523161791
candidate	1	mapAggregate	5	1024	10000	57734062272	2582736834
native	1	mapAggregate	1	1792	10000	101034608976	2273865000
native	1	mapAggregate	2	1792	10000	101034608976	2282553000
native	1	mapAggregate	3	1536	10000	86601093408	2024545000
native	1	mapAggregate	4	1792	10000	101034608976	2258358000
native	1	mapAggregate	5	1792	10000	101034608976	2298914000
candidate	2	mapAggregate	1	1024	10000	57734062272	2649402208
candidate	2	mapAggregate	2	1024	10000	57734062272	2535650375
candidate	2	mapAggregate	3	1024	10000	57734062272	2507627875
candidate	2	mapAggregate	4	1024	10000	57734062272	2521570667
candidate	2	mapAggregate	5	1024	10000	57734062272	2559018042
native	2	mapAggregate	1	1792	10000	101034608976	2265941000
native	2	mapAggregate	2	1792	10000	101034608976	2281267000
native	2	mapAggregate	3	1792	10000	101034608976	2239713000
native	2	mapAggregate	4	1792	10000	101034608976	2326829000
native	2	mapAggregate	5	1792	10000	101034608976	2244319000
baseline	2	mapAggregate	1	1024	10000	57734062272	2568988125
baseline	2	mapAggregate	2	1024	10000	57734062272	2532633208
baseline	2	mapAggregate	3	1024	10000	57734062272	2550459209
baseline	2	mapAggregate	4	1024	10000	57734062272	2585922042
baseline	2	mapAggregate	5	1024	10000	57734062272	2540749250
native	3	mapAggregate	1	1792	10000	101034608976	2244833000
native	3	mapAggregate	2	1792	10000	101034608976	2324299000
native	3	mapAggregate	3	1792	10000	101034608976	2313754000
native	3	mapAggregate	4	1792	10000	101034608976	2295851000
native	3	mapAggregate	5	1792	10000	101034608976	2231829000
baseline	3	mapAggregate	1	1024	10000	57734062272	2554364625
baseline	3	mapAggregate	2	1024	10000	57734062272	2576576292
baseline	3	mapAggregate	3	1024	10000	57734062272	2549036584
baseline	3	mapAggregate	4	1024	10000	57734062272	2615115875
baseline	3	mapAggregate	5	1024	10000	57734062272	2540964875
candidate	3	mapAggregate	1	1024	10000	57734062272	2525330292
candidate	3	mapAggregate	2	1024	10000	57734062272	2498701875
candidate	3	mapAggregate	3	1024	10000	57734062272	2512871625
candidate	3	mapAggregate	4	1024	10000	57734062272	2498103250
candidate	3	mapAggregate	5	1024	10000	57734062272	2480237667
