engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	768	10000	43300546704	2257317042
baseline	1	mapAggregate	2	768	10000	43300546704	2814165167
baseline	1	mapAggregate	3	768	10000	43300546704	2348512916
baseline	1	mapAggregate	4	768	10000	43300546704	2399251875
baseline	1	mapAggregate	5	768	10000	43300546704	2563033959
candidate	1	mapAggregate	1	768	10000	43300546704	2204363542
candidate	1	mapAggregate	2	768	10000	43300546704	2212123917
candidate	1	mapAggregate	3	768	10000	43300546704	2431909625
candidate	1	mapAggregate	4	768	10000	43300546704	2683397500
candidate	1	mapAggregate	5	512	10000	28867031136	2741986875
native	1	mapAggregate	1	768	10000	43300546704	2844448000
native	1	mapAggregate	2	768	10000	43300546704	2295964000
native	1	mapAggregate	3	1024	10000	57734062272	2456571000
native	1	mapAggregate	4	768	10000	43300546704	2125556000
native	1	mapAggregate	5	1024	10000	57734062272	2521499000
candidate	2	mapAggregate	1	768	10000	43300546704	2851373292
candidate	2	mapAggregate	2	512	10000	28867031136	2036101625
candidate	2	mapAggregate	3	768	10000	43300546704	3012952250
candidate	2	mapAggregate	4	768	10000	43300546704	2596654459
candidate	2	mapAggregate	5	768	10000	43300546704	2131935875
native	2	mapAggregate	1	1024	10000	57734062272	2442525000
native	2	mapAggregate	2	768	10000	43300546704	2106543000
native	2	mapAggregate	3	1024	10000	57734062272	2442650000
native	2	mapAggregate	4	1024	10000	57734062272	2556934000
native	2	mapAggregate	5	1024	10000	57734062272	2538943000
baseline	2	mapAggregate	1	768	10000	43300546704	2875230542
baseline	2	mapAggregate	2	768	10000	43300546704	2611868875
baseline	2	mapAggregate	3	512	10000	28867031136	2424697667
baseline	2	mapAggregate	4	512	10000	28867031136	2127348000
baseline	2	mapAggregate	5	768	10000	43300546704	2538976750
native	3	mapAggregate	1	1024	10000	57734062272	2512723000
native	3	mapAggregate	2	768	10000	43300546704	2009349000
native	3	mapAggregate	3	768	10000	43300546704	2185253000
native	3	mapAggregate	4	1024	10000	57734062272	2668801000
native	3	mapAggregate	5	1024	10000	57734062272	2216360000
baseline	3	mapAggregate	1	1024	10000	57734062272	2662991792
baseline	3	mapAggregate	2	768	10000	43300546704	2757156750
baseline	3	mapAggregate	3	768	10000	43300546704	2713567042
baseline	3	mapAggregate	4	768	10000	43300546704	2512686667
baseline	3	mapAggregate	5	1024	10000	57734062272	2572881792
candidate	3	mapAggregate	1	768	10000	43300546704	2603751667
candidate	3	mapAggregate	2	768	10000	43300546704	2772631542
candidate	3	mapAggregate	3	768	10000	43300546704	2161179750
candidate	3	mapAggregate	4	768	10000	43300546704	2428639167
candidate	3	mapAggregate	5	768	10000	43300546704	2304824500
