engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	768	10000	43300546704	2060417417
baseline	1	mapAggregate	2	768	10000	43300546704	2003483417
baseline	1	mapAggregate	3	768	10000	43300546704	2168847125
baseline	1	mapAggregate	4	768	10000	43300546704	2231230250
baseline	1	mapAggregate	5	768	10000	43300546704	2433599417
candidate	1	mapAggregate	1	1024	10000	57734062272	2620044417
candidate	1	mapAggregate	2	1024	10000	57734062272	2601086458
candidate	1	mapAggregate	3	1024	10000	57734062272	2676535708
candidate	1	mapAggregate	4	768	10000	43300546704	2310884917
candidate	1	mapAggregate	5	768	10000	43300546704	2031280959
native	1	mapAggregate	1	1024	10000	57734062272	2067346000
native	1	mapAggregate	2	1280	10000	72167577840	2490934000
native	1	mapAggregate	3	1024	10000	57734062272	2045525000
native	1	mapAggregate	4	1024	10000	57734062272	2094498000
native	1	mapAggregate	5	1280	10000	72167577840	2426824000
candidate	2	mapAggregate	1	768	10000	43300546704	2139303792
candidate	2	mapAggregate	2	768	10000	43300546704	2218433125
candidate	2	mapAggregate	3	768	10000	43300546704	2404842209
candidate	2	mapAggregate	4	768	10000	43300546704	2234700916
candidate	2	mapAggregate	5	768	10000	43300546704	2329628667
native	2	mapAggregate	1	1024	10000	57734062272	2306323000
native	2	mapAggregate	2	1024	10000	57734062272	2103884000
native	2	mapAggregate	3	1024	10000	57734062272	2550582000
native	2	mapAggregate	4	1024	10000	57734062272	2088423000
native	2	mapAggregate	5	1024	10000	57734062272	2028766000
baseline	2	mapAggregate	1	768	10000	43300546704	2849467708
baseline	2	mapAggregate	2	768	10000	43300546704	2125165916
baseline	2	mapAggregate	3	768	10000	43300546704	2259611959
baseline	2	mapAggregate	4	768	10000	43300546704	2167799708
baseline	2	mapAggregate	5	768	10000	43300546704	2202317375
native	3	mapAggregate	1	1024	10000	57734062272	2472468000
native	3	mapAggregate	2	1024	10000	57734062272	2312869000
native	3	mapAggregate	3	1024	10000	57734062272	2256522000
native	3	mapAggregate	4	1024	10000	57734062272	2037720000
native	3	mapAggregate	5	1024	10000	57734062272	2165500000
baseline	3	mapAggregate	1	1024	10000	57734062272	2562023250
baseline	3	mapAggregate	2	768	10000	43300546704	2176490667
baseline	3	mapAggregate	3	768	10000	43300546704	2093185250
baseline	3	mapAggregate	4	768	10000	43300546704	2306209459
baseline	3	mapAggregate	5	768	10000	43300546704	2398551625
candidate	3	mapAggregate	1	768	10000	43300546704	2663340083
candidate	3	mapAggregate	2	768	10000	43300546704	2147148208
candidate	3	mapAggregate	3	512	10000	28867031136	2479091000
candidate	3	mapAggregate	4	512	10000	28867031136	2182299417
candidate	3	mapAggregate	5	512	10000	28867031136	2029049958
