engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	512	10000	28867031136	2258567208
baseline	1	mapAggregate	2	512	10000	28867031136	2277645000
baseline	1	mapAggregate	3	768	10000	43300546704	2590818416
baseline	1	mapAggregate	4	768	10000	43300546704	2534457917
baseline	1	mapAggregate	5	512	10000	28867031136	2177112334
candidate	1	mapAggregate	1	768	10000	43300546704	2295063917
candidate	1	mapAggregate	2	768	10000	43300546704	2004793916
candidate	1	mapAggregate	3	768	10000	43300546704	2006447167
candidate	1	mapAggregate	4	1024	10000	57734062272	2681270500
candidate	1	mapAggregate	5	1024	10000	57734062272	2505389708
native	1	mapAggregate	1	1024	10000	57734062272	2606016000
native	1	mapAggregate	2	1024	10000	57734062272	2139212000
native	1	mapAggregate	3	1024	10000	57734062272	2277857000
native	1	mapAggregate	4	1024	10000	57734062272	2232757000
native	1	mapAggregate	5	1024	10000	57734062272	2489594000
candidate	2	mapAggregate	1	768	10000	43300546704	2336747625
candidate	2	mapAggregate	2	768	10000	43300546704	2238777625
candidate	2	mapAggregate	3	768	10000	43300546704	2403434334
candidate	2	mapAggregate	4	768	10000	43300546704	2323692375
candidate	2	mapAggregate	5	512	10000	28867031136	2112571500
native	2	mapAggregate	1	1024	10000	57734062272	2579234000
native	2	mapAggregate	2	768	10000	43300546704	2001229000
native	2	mapAggregate	3	1024	10000	57734062272	2615377000
native	2	mapAggregate	4	768	10000	43300546704	2495685000
native	2	mapAggregate	5	768	10000	43300546704	2706331000
baseline	2	mapAggregate	1	512	10000	28867031136	2241518667
baseline	2	mapAggregate	2	512	10000	28867031136	2620685917
baseline	2	mapAggregate	3	512	10000	28867031136	3074114042
baseline	2	mapAggregate	4	512	10000	28867031136	2248179958
baseline	2	mapAggregate	5	512	10000	28867031136	2040785125
native	3	mapAggregate	1	1024	10000	57734062272	2304158000
native	3	mapAggregate	2	1024	10000	57734062272	2208660000
native	3	mapAggregate	3	1024	10000	57734062272	2007205000
native	3	mapAggregate	4	1024	10000	57734062272	2037343000
native	3	mapAggregate	5	1024	10000	57734062272	2195152000
baseline	3	mapAggregate	1	512	10000	28867031136	2793343959
baseline	3	mapAggregate	2	768	10000	43300546704	3305506417
baseline	3	mapAggregate	3	512	10000	28867031136	2359617417
baseline	3	mapAggregate	4	512	10000	28867031136	2205646916
baseline	3	mapAggregate	5	512	10000	28867031136	2011744833
candidate	3	mapAggregate	1	768	10000	43300546704	2298396500
candidate	3	mapAggregate	2	1024	10000	57734062272	2558859375
candidate	3	mapAggregate	3	1024	10000	57734062272	2785225000
candidate	3	mapAggregate	4	768	10000	43300546704	2157013958
candidate	3	mapAggregate	5	768	10000	43300546704	2231576417
