engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	512	10000	28867031136	3101642500
baseline	1	mapAggregate	2	512	10000	28867031136	3929533583
baseline	1	mapAggregate	3	256	10000	14433515568	2093498500
baseline	1	mapAggregate	4	512	10000	28867031136	2792397583
baseline	1	mapAggregate	5	512	10000	28867031136	2253059291
candidate	1	mapAggregate	1	512	10000	28867031136	2004543250
candidate	1	mapAggregate	2	512	10000	28867031136	2769678917
candidate	1	mapAggregate	3	256	10000	14433515568	2251354250
candidate	1	mapAggregate	4	512	10000	28867031136	2999690875
candidate	1	mapAggregate	5	512	10000	28867031136	2062587208
native	1	mapAggregate	1	768	10000	43300546704	2547606000
native	1	mapAggregate	2	768	10000	43300546704	2438391000
native	1	mapAggregate	3	768	10000	43300546704	2090158000
native	1	mapAggregate	4	768	10000	43300546704	2256054000
native	1	mapAggregate	5	768	10000	43300546704	2058815000
candidate	2	mapAggregate	1	512	10000	28867031136	2535885667
candidate	2	mapAggregate	2	512	10000	28867031136	2781440458
candidate	2	mapAggregate	3	768	10000	43300546704	2648226833
candidate	2	mapAggregate	4	768	10000	43300546704	2349458917
candidate	2	mapAggregate	5	768	10000	43300546704	2220132667
native	2	mapAggregate	1	1024	10000	57734062272	2233452000
native	2	mapAggregate	2	1024	10000	57734062272	2614060000
native	2	mapAggregate	3	1024	10000	57734062272	2417375000
native	2	mapAggregate	4	1024	10000	57734062272	2130017000
native	2	mapAggregate	5	1024	10000	57734062272	2294334000
baseline	2	mapAggregate	1	768	10000	43300546704	2568196333
baseline	2	mapAggregate	2	512	10000	28867031136	2552950833
baseline	2	mapAggregate	3	512	10000	28867031136	2218530000
baseline	2	mapAggregate	4	768	10000	43300546704	2676238500
baseline	2	mapAggregate	5	768	10000	43300546704	2586361959
native	3	mapAggregate	1	768	10000	43300546704	2397422000
native	3	mapAggregate	2	768	10000	43300546704	2558877000
native	3	mapAggregate	3	768	10000	43300546704	2431532000
native	3	mapAggregate	4	768	10000	43300546704	2372774000
native	3	mapAggregate	5	768	10000	43300546704	2052740000
baseline	3	mapAggregate	1	768	10000	43300546704	2563983250
baseline	3	mapAggregate	2	768	10000	43300546704	2375028291
baseline	3	mapAggregate	3	768	10000	43300546704	2275022458
baseline	3	mapAggregate	4	512	10000	28867031136	2951612459
baseline	3	mapAggregate	5	512	10000	28867031136	2375837583
candidate	3	mapAggregate	1	768	10000	43300546704	2717537083
candidate	3	mapAggregate	2	768	10000	43300546704	2236592542
candidate	3	mapAggregate	3	768	10000	43300546704	2250710333
candidate	3	mapAggregate	4	768	10000	43300546704	3025350833
candidate	3	mapAggregate	5	512	10000	28867031136	2641017458
