engine	fork	entry	repetitions	inputBase	checksum	elapsedNs
native-ghc	1	sumLoop	2000	10000	100160085000	16727000
thc-graal	1	sumLoop	2000	10000	100160085000	148830125
native-ghc	2	sumLoop	2000	10000	100160085000	9932000
thc-graal	2	sumLoop	2000	10000	100160085000	156397084
native-ghc	3	sumLoop	2000	10000	100160085000	9953000
thc-graal	3	sumLoop	2000	10000	100160085000	150154250
native-ghc	1	fib	100	12	3085340	12552000
thc-graal	1	fib	100	12	3085340	29046417
native-ghc	2	fib	100	12	3085340	12889000
thc-graal	2	fib	100	12	3085340	29559583
native-ghc	3	fib	100	12	3085340	12911000
thc-graal	3	fib	100	12	3085340	27932000
native-ghc	1	under	200000	100	22900000	885000
