engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1536	10000	86601093408	2360025959
baseline	1	mapAggregate	2	1536	10000	86601093408	2357163459
baseline	1	mapAggregate	3	1536	10000	86601093408	2355518292
baseline	1	mapAggregate	4	1536	10000	86601093408	2325137875
baseline	1	mapAggregate	5	1536	10000	86601093408	2358019750
candidate	1	mapAggregate	1	1536	10000	86601093408	2333606834
candidate	1	mapAggregate	2	1536	10000	86601093408	2315398417
candidate	1	mapAggregate	3	1536	10000	86601093408	2320349000
candidate	1	mapAggregate	4	1536	10000	86601093408	2338962416
candidate	1	mapAggregate	5	1536	10000	86601093408	2279928583
native	1	mapAggregate	1	1792	10000	101034608976	2291859000
native	1	mapAggregate	2	1792	10000	101034608976	2275762000
native	1	mapAggregate	3	1792	10000	101034608976	2281559000
native	1	mapAggregate	4	1792	10000	101034608976	2242379000
native	1	mapAggregate	5	1792	10000	101034608976	2259413000
candidate	2	mapAggregate	1	1536	10000	86601093408	2309623625
candidate	2	mapAggregate	2	1536	10000	86601093408	2280941458
candidate	2	mapAggregate	3	1536	10000	86601093408	2356673875
candidate	2	mapAggregate	4	1280	10000	72167577840	2086476625
candidate	2	mapAggregate	5	1536	10000	86601093408	2356602750
native	2	mapAggregate	1	1792	10000	101034608976	2281165000
native	2	mapAggregate	2	1792	10000	101034608976	2303297000
native	2	mapAggregate	3	1792	10000	101034608976	2303603000
native	2	mapAggregate	4	1792	10000	101034608976	2305323000
native	2	mapAggregate	5	1792	10000	101034608976	2288132000
baseline	2	mapAggregate	1	1536	10000	86601093408	2316582208
baseline	2	mapAggregate	2	1536	10000	86601093408	2366064167
baseline	2	mapAggregate	3	1536	10000	86601093408	2216233083
baseline	2	mapAggregate	4	1536	10000	86601093408	2228488042
baseline	2	mapAggregate	5	1536	10000	86601093408	2281419125
native	3	mapAggregate	1	1792	10000	101034608976	2324491000
native	3	mapAggregate	2	1792	10000	101034608976	2313040000
native	3	mapAggregate	3	1792	10000	101034608976	2284233000
native	3	mapAggregate	4	1792	10000	101034608976	2293867000
native	3	mapAggregate	5	1536	10000	86601093408	2120031000
baseline	3	mapAggregate	1	1536	10000	86601093408	2260282666
baseline	3	mapAggregate	2	1536	10000	86601093408	2234031000
baseline	3	mapAggregate	3	1536	10000	86601093408	2267470667
baseline	3	mapAggregate	4	1536	10000	86601093408	2238084041
baseline	3	mapAggregate	5	1536	10000	86601093408	2244114750
candidate	3	mapAggregate	1	1536	10000	86601093408	2387600875
candidate	3	mapAggregate	2	1280	10000	72167577840	2089526708
candidate	3	mapAggregate	3	1536	10000	86601093408	2325539042
candidate	3	mapAggregate	4	1536	10000	86601093408	2328225375
candidate	3	mapAggregate	5	1536	10000	86601093408	2335894958
