engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1536	10000	86601093408	2369186875
baseline	1	mapAggregate	2	1536	10000	86601093408	2356799583
baseline	1	mapAggregate	3	1536	10000	86601093408	2327243625
baseline	1	mapAggregate	4	1536	10000	86601093408	2346409208
baseline	1	mapAggregate	5	1536	10000	86601093408	2329375541
candidate	1	mapAggregate	1	1536	10000	86601093408	2296302375
candidate	1	mapAggregate	2	1536	10000	86601093408	2281510541
candidate	1	mapAggregate	3	1536	10000	86601093408	2270236458
candidate	1	mapAggregate	4	1536	10000	86601093408	2270695750
candidate	1	mapAggregate	5	1536	10000	86601093408	2208174417
native	1	mapAggregate	1	1792	10000	101034608976	2275905000
native	1	mapAggregate	2	1792	10000	101034608976	2278978000
native	1	mapAggregate	3	1792	10000	101034608976	2234891000
native	1	mapAggregate	4	1792	10000	101034608976	2321695000
native	1	mapAggregate	5	1792	10000	101034608976	2270404000
candidate	2	mapAggregate	1	1536	10000	86601093408	2150016875
candidate	2	mapAggregate	2	1536	10000	86601093408	2210224792
candidate	2	mapAggregate	3	1536	10000	86601093408	2243810083
candidate	2	mapAggregate	4	1536	10000	86601093408	2182373209
candidate	2	mapAggregate	5	1536	10000	86601093408	2196754667
native	2	mapAggregate	1	1792	10000	101034608976	2302736000
native	2	mapAggregate	2	1536	10000	86601093408	2015771000
native	2	mapAggregate	3	1536	10000	86601093408	2010979000
native	2	mapAggregate	4	1792	10000	101034608976	2269824000
native	2	mapAggregate	5	1792	10000	101034608976	2224790000
baseline	2	mapAggregate	1	1280	10000	72167577840	2023889083
baseline	2	mapAggregate	2	1280	10000	72167577840	2157314125
baseline	2	mapAggregate	3	1024	10000	57734062272	2149112500
baseline	2	mapAggregate	4	1024	10000	57734062272	2496431000
baseline	2	mapAggregate	5	1024	10000	57734062272	2366834250
native	3	mapAggregate	1	1536	10000	86601093408	2239597000
native	3	mapAggregate	2	1536	10000	86601093408	2146596000
native	3	mapAggregate	3	1536	10000	86601093408	2218779000
native	3	mapAggregate	4	1536	10000	86601093408	2132101000
native	3	mapAggregate	5	1536	10000	86601093408	2197142000
baseline	3	mapAggregate	1	1280	10000	72167577840	2164146875
baseline	3	mapAggregate	2	1280	10000	72167577840	2185696125
baseline	3	mapAggregate	3	1280	10000	72167577840	2286948000
baseline	3	mapAggregate	4	1280	10000	72167577840	2216152958
baseline	3	mapAggregate	5	1280	10000	72167577840	2186211584
candidate	3	mapAggregate	1	1536	10000	86601093408	2357512459
candidate	3	mapAggregate	2	1280	10000	72167577840	2033523167
candidate	3	mapAggregate	3	1536	10000	86601093408	2310820125
candidate	3	mapAggregate	4	1280	10000	72167577840	2000123584
candidate	3	mapAggregate	5	1536	10000	86601093408	2318137667
