engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	768	10000	43300546704	2519108042
baseline	1	mapAggregate	2	768	10000	43300546704	2484812042
baseline	1	mapAggregate	3	768	10000	43300546704	2417033167
baseline	1	mapAggregate	4	768	10000	43300546704	2357654334
baseline	1	mapAggregate	5	768	10000	43300546704	2344420500
candidate	1	mapAggregate	1	768	10000	43300546704	2197542625
candidate	1	mapAggregate	2	768	10000	43300546704	2194270583
candidate	1	mapAggregate	3	768	10000	43300546704	2242475333
candidate	1	mapAggregate	4	768	10000	43300546704	2193908708
candidate	1	mapAggregate	5	768	10000	43300546704	2192823000
native	1	mapAggregate	1	1792	10000	101034608976	2288132000
native	1	mapAggregate	2	1792	10000	101034608976	2329667000
native	1	mapAggregate	3	1536	10000	86601093408	2306071000
native	1	mapAggregate	4	1536	10000	86601093408	2046501000
native	1	mapAggregate	5	1792	10000	101034608976	2306351000
candidate	2	mapAggregate	1	768	10000	43300546704	2225104292
candidate	2	mapAggregate	2	768	10000	43300546704	2238427667
candidate	2	mapAggregate	3	768	10000	43300546704	2216231459
candidate	2	mapAggregate	4	768	10000	43300546704	2197967792
candidate	2	mapAggregate	5	768	10000	43300546704	2240132584
native	2	mapAggregate	1	1536	10000	86601093408	2037873000
native	2	mapAggregate	2	1792	10000	101034608976	2324379000
native	2	mapAggregate	3	1792	10000	101034608976	2305018000
native	2	mapAggregate	4	1536	10000	86601093408	2045358000
native	2	mapAggregate	5	1536	10000	86601093408	2145607000
baseline	2	mapAggregate	1	768	10000	43300546704	2672385333
baseline	2	mapAggregate	2	768	10000	43300546704	2391149208
baseline	2	mapAggregate	3	768	10000	43300546704	2500733250
baseline	2	mapAggregate	4	512	10000	28867031136	2601661334
baseline	2	mapAggregate	5	768	10000	43300546704	2763279416
native	3	mapAggregate	1	1536	10000	86601093408	2011609000
native	3	mapAggregate	2	1792	10000	101034608976	2309140000
native	3	mapAggregate	3	1792	10000	101034608976	2302341000
native	3	mapAggregate	4	1792	10000	101034608976	2269944000
native	3	mapAggregate	5	1536	10000	86601093408	2009993000
baseline	3	mapAggregate	1	768	10000	43300546704	2352755917
baseline	3	mapAggregate	2	768	10000	43300546704	2318365375
baseline	3	mapAggregate	3	768	10000	43300546704	2311806458
baseline	3	mapAggregate	4	768	10000	43300546704	2325777583
baseline	3	mapAggregate	5	768	10000	43300546704	2317731583
candidate	3	mapAggregate	1	768	10000	43300546704	2190568500
candidate	3	mapAggregate	2	768	10000	43300546704	2232208834
candidate	3	mapAggregate	3	768	10000	43300546704	2231859750
candidate	3	mapAggregate	4	768	10000	43300546704	2204954625
candidate	3	mapAggregate	5	768	10000	43300546704	2312711250
