  PID  %CPU COMM
78497  96.4 /Users/ekmett/cadenza/.toolchains/graalvm-25.3.4.1+1.1/Contents/Home/bin/java
98517  37.9 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
58276  13.1 /Applications/ChatGPT.app/Contents/MacOS/ChatGPT
58320  12.1 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/153.0.8010.48/Helpers/Codex (Renderer).app/Contents/MacOS/Codex (Renderer)
58285   8.9 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/153.0.8010.48/Helpers/Codex (Service).app/Contents/MacOS/Codex (Service)
69663   8.8 /System/Library/CoreServices/ReportCrash
58309   8.4 /Applications/ChatGPT.app/Contents/Resources/codex
  375   4.8 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/150.0.7871.102/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
63011   4.2 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
61862   2.5 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/150.0.7871.102/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
78519   1.9 /bin/zsh
69791   1.6 /System/Library/CoreServices/diagnosticservicesd
  545   1.5 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN
  374   0.7 /usr/sbin/cfprefsd
 4476   0.6 /Applications/Microsoft Edge.app/Contents/MacOS/Microsoft Edge
22214   0.5 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
53043   0.4 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
