engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	768	10000	43300546704	2219169792
baseline	1	mapAggregate	2	768	10000	43300546704	2137206209
baseline	1	mapAggregate	3	768	10000	43300546704	2159436084
baseline	1	mapAggregate	4	768	10000	43300546704	2141281459
baseline	1	mapAggregate	5	768	10000	43300546704	2155771667
candidate	1	mapAggregate	1	1024	10000	57734062272	2604976000
candidate	1	mapAggregate	2	1024	10000	57734062272	2485424625
candidate	1	mapAggregate	3	1024	10000	57734062272	2655135833
candidate	1	mapAggregate	4	1024	10000	57734062272	2416740500
candidate	1	mapAggregate	5	1024	10000	57734062272	2404111125
native	1	mapAggregate	1	1536	10000	86601093408	2033206000
native	1	mapAggregate	2	1792	10000	101034608976	2307362000
native	1	mapAggregate	3	1792	10000	101034608976	2281231000
native	1	mapAggregate	4	1792	10000	101034608976	2288693000
native	1	mapAggregate	5	1792	10000	101034608976	2309242000
candidate	2	mapAggregate	1	1024	10000	57734062272	2393406625
candidate	2	mapAggregate	2	1024	10000	57734062272	2416462083
candidate	2	mapAggregate	3	1024	10000	57734062272	2383901250
candidate	2	mapAggregate	4	1024	10000	57734062272	2390781834
candidate	2	mapAggregate	5	1024	10000	57734062272	2390742000
native	2	mapAggregate	1	1792	10000	101034608976	2189525000
native	2	mapAggregate	2	1792	10000	101034608976	2221119000
native	2	mapAggregate	3	1792	10000	101034608976	2194592000
native	2	mapAggregate	4	1792	10000	101034608976	2246849000
native	2	mapAggregate	5	1792	10000	101034608976	2325405000
baseline	2	mapAggregate	1	768	10000	43300546704	2232519000
baseline	2	mapAggregate	2	768	10000	43300546704	2139393000
baseline	2	mapAggregate	3	768	10000	43300546704	2129848667
baseline	2	mapAggregate	4	768	10000	43300546704	2128968208
baseline	2	mapAggregate	5	768	10000	43300546704	2209854333
native	3	mapAggregate	1	1792	10000	101034608976	2234550000
native	3	mapAggregate	2	1792	10000	101034608976	2213897000
native	3	mapAggregate	3	1792	10000	101034608976	2187875000
native	3	mapAggregate	4	1792	10000	101034608976	2210484000
native	3	mapAggregate	5	1792	10000	101034608976	2250442000
baseline	3	mapAggregate	1	768	10000	43300546704	2121438541
baseline	3	mapAggregate	2	768	10000	43300546704	2173088042
baseline	3	mapAggregate	3	768	10000	43300546704	2161886250
baseline	3	mapAggregate	4	768	10000	43300546704	2163958542
baseline	3	mapAggregate	5	768	10000	43300546704	2180729500
candidate	3	mapAggregate	1	1024	10000	57734062272	2406333167
candidate	3	mapAggregate	2	1024	10000	57734062272	2411598000
candidate	3	mapAggregate	3	1024	10000	57734062272	2394403041
candidate	3	mapAggregate	4	1024	10000	57734062272	2370340208
candidate	3	mapAggregate	5	1024	10000	57734062272	2406095708
