engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	768	10000	43300546704	2181151708
baseline	1	mapAggregate	2	768	10000	43300546704	2180362333
baseline	1	mapAggregate	3	768	10000	43300546704	2165974791
baseline	1	mapAggregate	4	768	10000	43300546704	2184569792
baseline	1	mapAggregate	5	768	10000	43300546704	2159755834
candidate	1	mapAggregate	1	768	10000	43300546704	2239583708
candidate	1	mapAggregate	2	768	10000	43300546704	2317179917
candidate	1	mapAggregate	3	768	10000	43300546704	2651759750
candidate	1	mapAggregate	4	768	10000	43300546704	2383803458
candidate	1	mapAggregate	5	768	10000	43300546704	2288020791
native	1	mapAggregate	1	1536	10000	86601093408	2005556000
native	1	mapAggregate	2	1792	10000	101034608976	2251665000
native	1	mapAggregate	3	1536	10000	86601093408	2029598000
native	1	mapAggregate	4	1792	10000	101034608976	2309524000
native	1	mapAggregate	5	1792	10000	101034608976	2323393000
candidate	2	mapAggregate	1	768	10000	43300546704	2226132375
candidate	2	mapAggregate	2	768	10000	43300546704	2204967250
candidate	2	mapAggregate	3	768	10000	43300546704	2199157417
candidate	2	mapAggregate	4	768	10000	43300546704	2219029500
candidate	2	mapAggregate	5	768	10000	43300546704	2203221417
native	2	mapAggregate	1	1792	10000	101034608976	2295344000
native	2	mapAggregate	2	1792	10000	101034608976	2305214000
native	2	mapAggregate	3	1792	10000	101034608976	2279790000
native	2	mapAggregate	4	1792	10000	101034608976	2260836000
native	2	mapAggregate	5	1792	10000	101034608976	2373910000
baseline	2	mapAggregate	1	768	10000	43300546704	2260640958
baseline	2	mapAggregate	2	768	10000	43300546704	2224743625
baseline	2	mapAggregate	3	768	10000	43300546704	2260786417
baseline	2	mapAggregate	4	768	10000	43300546704	2322314917
baseline	2	mapAggregate	5	768	10000	43300546704	2229590125
native	3	mapAggregate	1	1280	10000	72167577840	2010997000
native	3	mapAggregate	2	1792	10000	101034608976	2320774000
native	3	mapAggregate	3	1536	10000	86601093408	2060324000
native	3	mapAggregate	4	1792	10000	101034608976	2295175000
native	3	mapAggregate	5	1792	10000	101034608976	2274198000
baseline	3	mapAggregate	1	768	10000	43300546704	2285636209
baseline	3	mapAggregate	2	768	10000	43300546704	2456917500
baseline	3	mapAggregate	3	512	10000	28867031136	2282888166
baseline	3	mapAggregate	4	768	10000	43300546704	2806609583
baseline	3	mapAggregate	5	768	10000	43300546704	2643567958
candidate	3	mapAggregate	1	768	10000	43300546704	2246543958
candidate	3	mapAggregate	2	768	10000	43300546704	2212742042
candidate	3	mapAggregate	3	768	10000	43300546704	2185218666
candidate	3	mapAggregate	4	768	10000	43300546704	2416409834
candidate	3	mapAggregate	5	768	10000	43300546704	2539395875
