engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	768	10000	43300546704	2244823875
baseline	1	mapAggregate	2	768	10000	43300546704	2222849958
baseline	1	mapAggregate	3	768	10000	43300546704	2227120334
baseline	1	mapAggregate	4	768	10000	43300546704	2251990500
baseline	1	mapAggregate	5	768	10000	43300546704	2235244417
candidate	1	mapAggregate	1	768	10000	43300546704	2409896625
candidate	1	mapAggregate	2	768	10000	43300546704	2562382750
candidate	1	mapAggregate	3	768	10000	43300546704	2433594042
candidate	1	mapAggregate	4	768	10000	43300546704	2437582166
candidate	1	mapAggregate	5	768	10000	43300546704	2415292250
native	1	mapAggregate	1	1792	10000	101034608976	2296652000
native	1	mapAggregate	2	1536	10000	86601093408	2015087000
native	1	mapAggregate	3	1536	10000	86601093408	2008649000
native	1	mapAggregate	4	1792	10000	101034608976	2319673000
native	1	mapAggregate	5	1792	10000	101034608976	2325563000
candidate	2	mapAggregate	1	768	10000	43300546704	2836898667
candidate	2	mapAggregate	2	512	10000	28867031136	2062450416
candidate	2	mapAggregate	3	768	10000	43300546704	2551455417
candidate	2	mapAggregate	4	768	10000	43300546704	2447543542
candidate	2	mapAggregate	5	768	10000	43300546704	2451883000
native	2	mapAggregate	1	1536	10000	86601093408	2029056000
native	2	mapAggregate	2	1536	10000	86601093408	2208389000
native	2	mapAggregate	3	1280	10000	72167577840	2165522000
native	2	mapAggregate	4	1280	10000	72167577840	2103151000
native	2	mapAggregate	5	1280	10000	72167577840	2045773000
baseline	2	mapAggregate	1	768	10000	43300546704	2272128542
baseline	2	mapAggregate	2	768	10000	43300546704	2227920209
baseline	2	mapAggregate	3	768	10000	43300546704	2238142167
baseline	2	mapAggregate	4	768	10000	43300546704	2237052625
baseline	2	mapAggregate	5	768	10000	43300546704	2226493916
native	3	mapAggregate	1	1792	10000	101034608976	2299823000
native	3	mapAggregate	2	1792	10000	101034608976	2308247000
native	3	mapAggregate	3	1536	10000	86601093408	2002818000
native	3	mapAggregate	4	1792	10000	101034608976	2312725000
native	3	mapAggregate	5	1536	10000	86601093408	2001661000
baseline	3	mapAggregate	1	768	10000	43300546704	2280371250
baseline	3	mapAggregate	2	768	10000	43300546704	2544690000
baseline	3	mapAggregate	3	256	10000	14433515568	2262570250
baseline	3	mapAggregate	4	512	10000	28867031136	2801237541
baseline	3	mapAggregate	5	512	10000	28867031136	2696149250
candidate	3	mapAggregate	1	768	10000	43300546704	2637248250
candidate	3	mapAggregate	2	768	10000	43300546704	2421382959
candidate	3	mapAggregate	3	768	10000	43300546704	2654490708
candidate	3	mapAggregate	4	768	10000	43300546704	2546135375
candidate	3	mapAggregate	5	768	10000	43300546704	2425323250
