engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	768	10000	43300546704	2346050709
baseline	1	mapAggregate	2	768	10000	43300546704	2330342500
baseline	1	mapAggregate	3	768	10000	43300546704	2377463250
baseline	1	mapAggregate	4	768	10000	43300546704	2355407375
baseline	1	mapAggregate	5	768	10000	43300546704	2376836541
candidate	1	mapAggregate	1	768	10000	43300546704	2684621708
candidate	1	mapAggregate	2	768	10000	43300546704	2379010666
candidate	1	mapAggregate	3	768	10000	43300546704	2598106916
candidate	1	mapAggregate	4	768	10000	43300546704	2271463500
candidate	1	mapAggregate	5	768	10000	43300546704	2304306500
native	1	mapAggregate	1	1536	10000	86601093408	2024867000
native	1	mapAggregate	2	1792	10000	101034608976	2291883000
native	1	mapAggregate	3	1792	10000	101034608976	2247698000
native	1	mapAggregate	4	1792	10000	101034608976	2244670000
native	1	mapAggregate	5	1536	10000	86601093408	2015835000
candidate	2	mapAggregate	1	768	10000	43300546704	2251473917
candidate	2	mapAggregate	2	768	10000	43300546704	2201789750
candidate	2	mapAggregate	3	768	10000	43300546704	2448262542
candidate	2	mapAggregate	4	768	10000	43300546704	2343198375
candidate	2	mapAggregate	5	768	10000	43300546704	2343954375
native	2	mapAggregate	1	1536	10000	86601093408	2008594000
native	2	mapAggregate	2	1536	10000	86601093408	2325284000
native	2	mapAggregate	3	1792	10000	101034608976	2276902000
native	2	mapAggregate	4	1792	10000	101034608976	2280802000
native	2	mapAggregate	5	1792	10000	101034608976	2303472000
baseline	2	mapAggregate	1	768	10000	43300546704	2365437459
baseline	2	mapAggregate	2	768	10000	43300546704	2354239458
baseline	2	mapAggregate	3	768	10000	43300546704	2368472708
baseline	2	mapAggregate	4	768	10000	43300546704	2354688250
baseline	2	mapAggregate	5	768	10000	43300546704	2376848250
native	3	mapAggregate	1	1536	10000	86601093408	2152702000
native	3	mapAggregate	2	1536	10000	86601093408	2021611000
native	3	mapAggregate	3	1792	10000	101034608976	2332057000
native	3	mapAggregate	4	1536	10000	86601093408	2015027000
native	3	mapAggregate	5	1536	10000	86601093408	2110685000
baseline	3	mapAggregate	1	768	10000	43300546704	2358916750
baseline	3	mapAggregate	2	768	10000	43300546704	2374565666
baseline	3	mapAggregate	3	768	10000	43300546704	2331310292
baseline	3	mapAggregate	4	768	10000	43300546704	2317934875
baseline	3	mapAggregate	5	768	10000	43300546704	2322094750
candidate	3	mapAggregate	1	768	10000	43300546704	2258135333
candidate	3	mapAggregate	2	768	10000	43300546704	2276122459
candidate	3	mapAggregate	3	768	10000	43300546704	2229906041
candidate	3	mapAggregate	4	768	10000	43300546704	2269822792
candidate	3	mapAggregate	5	768	10000	43300546704	2288611708
