  PID  %CPU COMM
72269  99.6 /Users/ekmett/cadenza/.toolchains/graalvm-25.3.4.1+1.1/Contents/Home/bin/java
 4476  31.3 /Applications/Microsoft Edge.app/Contents/MacOS/Microsoft Edge
98517  30.3 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
  375   4.4 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/150.0.7871.102/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
58309   3.7 /Applications/ChatGPT.app/Contents/Resources/codex
99987   2.6 /Applications/Microsoft Edge.app/Contents/Frameworks/Microsoft Edge Framework.framework/Versions/150.0.4078.83/Helpers/Microsoft Edge Helper (Renderer).app/Contents/MacOS/Microsoft Edge Helper (Renderer)
69663   2.0 /System/Library/CoreServices/ReportCrash
 4482   1.5 /Applications/Microsoft Edge.app/Contents/Frameworks/Microsoft Edge Framework.framework/Versions/150.0.4078.83/Helpers/Microsoft Edge Helper.app/Contents/MacOS/Microsoft Edge Helper
61862   1.3 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/150.0.7871.102/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
93239   1.1 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService
63011   1.0 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
65609   0.9 /System/Library/ExtensionKit/Extensions/Drift.appex/Contents/MacOS/Drift
58276   0.8 /Applications/ChatGPT.app/Contents/MacOS/ChatGPT
58320   0.7 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/153.0.8010.48/Helpers/Codex (Renderer).app/Contents/MacOS/Codex (Renderer)
60276   0.3 /System/Applications/System Settings.app/Contents/MacOS/System Settings
  545   0.3 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN
69791   0.3 /System/Library/CoreServices/diagnosticservicesd
