  PID  %CPU COMM
58309  13.5 /Applications/ChatGPT.app/Contents/Resources/codex
98517  12.6 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
 4476  10.9 /Applications/Microsoft Edge.app/Contents/MacOS/Microsoft Edge
37765   8.6 /Applications/Microsoft Edge.app/Contents/Frameworks/Microsoft Edge Framework.framework/Versions/150.0.4078.83/Helpers/Microsoft Edge Helper (Renderer).app/Contents/MacOS/Microsoft Edge Helper (Renderer)
 4482   5.8 /Applications/Microsoft Edge.app/Contents/Frameworks/Microsoft Edge Framework.framework/Versions/150.0.4078.83/Helpers/Microsoft Edge Helper.app/Contents/MacOS/Microsoft Edge Helper
58320   2.8 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/153.0.8010.48/Helpers/Codex (Renderer).app/Contents/MacOS/Codex (Renderer)
69663   2.4 /System/Library/CoreServices/ReportCrash
58276   1.7 /Applications/ChatGPT.app/Contents/MacOS/ChatGPT
22214   1.3 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  545   1.2 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN
63011   1.2 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
  162   0.7 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
22213   0.6 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
16574   0.6 /usr/libexec/trustd
69791   0.4 /System/Library/CoreServices/diagnosticservicesd
