engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
thc-graal	1	mapAggregate	1	768	10000	43300546704	2351512000
thc-graal	1	mapAggregate	2	768	10000	43300546704	2381725000
thc-graal	1	mapAggregate	3	768	10000	43300546704	2436032416
thc-graal	1	mapAggregate	4	768	10000	43300546704	2387408750
thc-graal	1	mapAggregate	5	768	10000	43300546704	2379728250
native-ghc	1	mapAggregate	1	1536	10000	86601093408	2012915000
native-ghc	1	mapAggregate	2	1536	10000	86601093408	2123492000
native-ghc	1	mapAggregate	3	1536	10000	86601093408	2079586000
native-ghc	1	mapAggregate	4	1536	10000	86601093408	2040694000
native-ghc	1	mapAggregate	5	1536	10000	86601093408	2139052000
native-ghc	2	mapAggregate	1	1536	10000	86601093408	2021529000
native-ghc	2	mapAggregate	2	1536	10000	86601093408	2019042000
native-ghc	2	mapAggregate	3	1536	10000	86601093408	2036467000
native-ghc	2	mapAggregate	4	1536	10000	86601093408	2058206000
native-ghc	2	mapAggregate	5	1536	10000	86601093408	2120255000
thc-graal	2	mapAggregate	1	768	10000	43300546704	2318676208
thc-graal	2	mapAggregate	2	768	10000	43300546704	2328532125
thc-graal	2	mapAggregate	3	768	10000	43300546704	2541153292
thc-graal	2	mapAggregate	4	768	10000	43300546704	2296847000
thc-graal	2	mapAggregate	5	768	10000	43300546704	2308817792
thc-graal	3	mapAggregate	1	768	10000	43300546704	2399409750
thc-graal	3	mapAggregate	2	768	10000	43300546704	2441121667
thc-graal	3	mapAggregate	3	512	10000	28867031136	2018694583
thc-graal	3	mapAggregate	4	768	10000	43300546704	2725428625
thc-graal	3	mapAggregate	5	768	10000	43300546704	2382770250
native-ghc	3	mapAggregate	1	1536	10000	86601093408	2010340000
native-ghc	3	mapAggregate	2	1792	10000	101034608976	2327829000
native-ghc	3	mapAggregate	3	1536	10000	86601093408	2033113000
native-ghc	3	mapAggregate	4	1536	10000	86601093408	2069771000
native-ghc	3	mapAggregate	5	1536	10000	86601093408	2172217000
