engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1024	10000	57734062272	2249006167
baseline	1	mapAggregate	2	1024	10000	57734062272	2209491625
baseline	1	mapAggregate	3	1024	10000	57734062272	2240817083
baseline	1	mapAggregate	4	1024	10000	57734062272	2216265917
baseline	1	mapAggregate	5	1024	10000	57734062272	2224961291
candidate	1	mapAggregate	1	1024	10000	57734062272	2132924000
candidate	1	mapAggregate	2	1024	10000	57734062272	2110479208
candidate	1	mapAggregate	3	1024	10000	57734062272	2107342667
candidate	1	mapAggregate	4	1024	10000	57734062272	2148163708
candidate	1	mapAggregate	5	1024	10000	57734062272	2122064291
native	1	mapAggregate	1	1792	10000	101034608976	2273843000
native	1	mapAggregate	2	1792	10000	101034608976	2295336000
native	1	mapAggregate	3	1792	10000	101034608976	2304250000
native	1	mapAggregate	4	1792	10000	101034608976	2299950000
native	1	mapAggregate	5	1792	10000	101034608976	2301830000
candidate	2	mapAggregate	1	1024	10000	57734062272	2138570458
candidate	2	mapAggregate	2	1024	10000	57734062272	2117922917
candidate	2	mapAggregate	3	1024	10000	57734062272	2130945750
candidate	2	mapAggregate	4	1024	10000	57734062272	2110852333
candidate	2	mapAggregate	5	1024	10000	57734062272	2121338041
native	2	mapAggregate	1	1792	10000	101034608976	2263259000
native	2	mapAggregate	2	1792	10000	101034608976	2193864000
native	2	mapAggregate	3	1792	10000	101034608976	2212891000
native	2	mapAggregate	4	1792	10000	101034608976	2245570000
native	2	mapAggregate	5	1792	10000	101034608976	2271393000
baseline	2	mapAggregate	1	1024	10000	57734062272	2217441958
baseline	2	mapAggregate	2	1024	10000	57734062272	2261231750
baseline	2	mapAggregate	3	1024	10000	57734062272	2364894917
baseline	2	mapAggregate	4	1024	10000	57734062272	2218499667
baseline	2	mapAggregate	5	1024	10000	57734062272	2256591208
native	3	mapAggregate	1	1536	10000	86601093408	2668981000
native	3	mapAggregate	2	512	10000	28867031136	2298586000
native	3	mapAggregate	3	768	10000	43300546704	2230573000
native	3	mapAggregate	4	1024	10000	57734062272	2125488000
native	3	mapAggregate	5	1024	10000	57734062272	2553826000
baseline	3	mapAggregate	1	512	10000	28867031136	2324413083
baseline	3	mapAggregate	2	512	10000	28867031136	2074320334
baseline	3	mapAggregate	3	512	10000	28867031136	2188312583
baseline	3	mapAggregate	4	512	10000	28867031136	2193772209
baseline	3	mapAggregate	5	512	10000	28867031136	2172292291
candidate	3	mapAggregate	1	512	10000	28867031136	2068356250
candidate	3	mapAggregate	2	512	10000	28867031136	2119425000
candidate	3	mapAggregate	3	512	10000	28867031136	2125154500
candidate	3	mapAggregate	4	512	10000	28867031136	2488561125
candidate	3	mapAggregate	5	768	10000	43300546704	3074263792
