engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1280	10000	72167577840	2043696078
baseline	1	mapAggregate	2	1280	10000	72167577840	2100467112
baseline	1	mapAggregate	3	1280	10000	72167577840	2049721192
baseline	1	mapAggregate	4	1280	10000	72167577840	2048112977
baseline	1	mapAggregate	5	1280	10000	72167577840	2056267978
candidate	1	mapAggregate	1	768	10000	43300546704	2189493507
candidate	1	mapAggregate	2	768	10000	43300546704	2220030063
candidate	1	mapAggregate	3	768	10000	43300546704	2187655920
candidate	1	mapAggregate	4	768	10000	43300546704	2190877282
candidate	1	mapAggregate	5	768	10000	43300546704	2189998856
native	1	mapAggregate	1	1536	10000	86601093408	2065016880
native	1	mapAggregate	2	1536	10000	86601093408	2066818977
native	1	mapAggregate	3	1536	10000	86601093408	2063533672
native	1	mapAggregate	4	1536	10000	86601093408	2059958245
native	1	mapAggregate	5	1536	10000	86601093408	2067653376
