engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1024	10000	57734062272	2385988750
baseline	1	mapAggregate	2	1024	10000	57734062272	2420087375
baseline	1	mapAggregate	3	1024	10000	57734062272	2390539125
baseline	1	mapAggregate	4	1024	10000	57734062272	2405829250
baseline	1	mapAggregate	5	1024	10000	57734062272	2499020500
candidate	1	mapAggregate	1	1280	10000	72167577840	2121051542
candidate	1	mapAggregate	2	1280	10000	72167577840	2074026500
candidate	1	mapAggregate	3	1280	10000	72167577840	2028483917
candidate	1	mapAggregate	4	1280	10000	72167577840	2079661208
candidate	1	mapAggregate	5	1280	10000	72167577840	2042806375
native	1	mapAggregate	1	1792	10000	101034608976	2247385000
native	1	mapAggregate	2	1536	10000	86601093408	2078497000
native	1	mapAggregate	3	1792	10000	101034608976	2309819000
native	1	mapAggregate	4	1792	10000	101034608976	2243939000
native	1	mapAggregate	5	1792	10000	101034608976	2275777000
candidate	2	mapAggregate	1	1536	10000	86601093408	2359771542
candidate	2	mapAggregate	2	1536	10000	86601093408	2351425708
candidate	2	mapAggregate	3	1280	10000	72167577840	2066362583
candidate	2	mapAggregate	4	1536	10000	86601093408	2368430625
candidate	2	mapAggregate	5	1536	10000	86601093408	2382857791
native	2	mapAggregate	1	1792	10000	101034608976	2262630000
native	2	mapAggregate	2	1792	10000	101034608976	2255487000
native	2	mapAggregate	3	1792	10000	101034608976	2219392000
native	2	mapAggregate	4	1792	10000	101034608976	2245110000
native	2	mapAggregate	5	1792	10000	101034608976	2189076000
baseline	2	mapAggregate	1	1024	10000	57734062272	2359017250
baseline	2	mapAggregate	2	1024	10000	57734062272	2392328583
baseline	2	mapAggregate	3	1024	10000	57734062272	2392477125
baseline	2	mapAggregate	4	1024	10000	57734062272	2384449625
baseline	2	mapAggregate	5	1024	10000	57734062272	2421211417
native	3	mapAggregate	1	1792	10000	101034608976	2276425000
native	3	mapAggregate	2	1792	10000	101034608976	2192904000
native	3	mapAggregate	3	1792	10000	101034608976	2192085000
native	3	mapAggregate	4	1792	10000	101034608976	2230781000
native	3	mapAggregate	5	1792	10000	101034608976	2188788000
baseline	3	mapAggregate	1	1024	10000	57734062272	2370451792
baseline	3	mapAggregate	2	1024	10000	57734062272	2390532958
baseline	3	mapAggregate	3	1024	10000	57734062272	2392642750
baseline	3	mapAggregate	4	1024	10000	57734062272	2402755584
baseline	3	mapAggregate	5	1024	10000	57734062272	2432382292
candidate	3	mapAggregate	1	1536	10000	86601093408	2342595000
candidate	3	mapAggregate	2	1536	10000	86601093408	2341426750
candidate	3	mapAggregate	3	1536	10000	86601093408	2305803625
candidate	3	mapAggregate	4	1536	10000	86601093408	2352931042
candidate	3	mapAggregate	5	1536	10000	86601093408	2353755750
