engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	768	10000	43300546704	2735483750
baseline	1	mapAggregate	2	768	10000	43300546704	2684125334
baseline	1	mapAggregate	3	512	10000	28867031136	2096314583
baseline	1	mapAggregate	4	768	10000	43300546704	2650180250
baseline	1	mapAggregate	5	768	10000	43300546704	2691248834
candidate	1	mapAggregate	1	768	10000	43300546704	2601245667
candidate	1	mapAggregate	2	768	10000	43300546704	2597013167
candidate	1	mapAggregate	3	768	10000	43300546704	2579496000
candidate	1	mapAggregate	4	768	10000	43300546704	2714783041
candidate	1	mapAggregate	5	768	10000	43300546704	2673312875
native	1	mapAggregate	1	1792	10000	101034608976	2291536000
native	1	mapAggregate	2	1792	10000	101034608976	2311648000
native	1	mapAggregate	3	1536	10000	86601093408	2072217000
native	1	mapAggregate	4	1536	10000	86601093408	2005835000
native	1	mapAggregate	5	1792	10000	101034608976	2261559000
candidate	2	mapAggregate	1	768	10000	43300546704	2630132875
candidate	2	mapAggregate	2	768	10000	43300546704	2646112583
candidate	2	mapAggregate	3	768	10000	43300546704	2617446792
candidate	2	mapAggregate	4	768	10000	43300546704	2648263500
candidate	2	mapAggregate	5	768	10000	43300546704	2630281083
native	2	mapAggregate	1	1792	10000	101034608976	2293672000
native	2	mapAggregate	2	1536	10000	86601093408	2048464000
native	2	mapAggregate	3	1792	10000	101034608976	2288957000
native	2	mapAggregate	4	1792	10000	101034608976	2318307000
native	2	mapAggregate	5	1536	10000	86601093408	2044435000
baseline	2	mapAggregate	1	768	10000	43300546704	2625002416
baseline	2	mapAggregate	2	768	10000	43300546704	2614727166
baseline	2	mapAggregate	3	768	10000	43300546704	2725844750
baseline	2	mapAggregate	4	768	10000	43300546704	2652964542
baseline	2	mapAggregate	5	768	10000	43300546704	2630665875
native	3	mapAggregate	1	1536	10000	86601093408	2102629000
native	3	mapAggregate	2	1792	10000	101034608976	2334056000
native	3	mapAggregate	3	1536	10000	86601093408	2221652000
native	3	mapAggregate	4	1536	10000	86601093408	2017805000
native	3	mapAggregate	5	1792	10000	101034608976	2278952000
baseline	3	mapAggregate	1	768	10000	43300546704	2590515500
baseline	3	mapAggregate	2	768	10000	43300546704	2590623333
baseline	3	mapAggregate	3	768	10000	43300546704	2624173625
baseline	3	mapAggregate	4	768	10000	43300546704	2581453416
baseline	3	mapAggregate	5	768	10000	43300546704	2583071708
candidate	3	mapAggregate	1	512	10000	28867031136	2128625709
candidate	3	mapAggregate	2	768	10000	43300546704	2672473875
candidate	3	mapAggregate	3	768	10000	43300546704	2925861250
candidate	3	mapAggregate	4	768	10000	43300546704	2676272333
candidate	3	mapAggregate	5	768	10000	43300546704	2652567500
