engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	768	10000	43300546704	2839193791
baseline	1	mapAggregate	2	768	10000	43300546704	2654093750
baseline	1	mapAggregate	3	768	10000	43300546704	2598445334
baseline	1	mapAggregate	4	768	10000	43300546704	2753957000
baseline	1	mapAggregate	5	768	10000	43300546704	2602722125
candidate	1	mapAggregate	1	768	10000	43300546704	2057972083
candidate	1	mapAggregate	2	1024	10000	57734062272	2566999000
candidate	1	mapAggregate	3	1024	10000	57734062272	2583140125
candidate	1	mapAggregate	4	1024	10000	57734062272	2545289458
candidate	1	mapAggregate	5	1024	10000	57734062272	2534169083
native	1	mapAggregate	1	1536	10000	86601093408	2005034000
native	1	mapAggregate	2	1536	10000	86601093408	2055422000
native	1	mapAggregate	3	1792	10000	101034608976	2293117000
native	1	mapAggregate	4	1792	10000	101034608976	2280759000
native	1	mapAggregate	5	1792	10000	101034608976	2289722000
candidate	2	mapAggregate	1	768	10000	43300546704	2038312792
candidate	2	mapAggregate	2	1024	10000	57734062272	2569587334
candidate	2	mapAggregate	3	1024	10000	57734062272	2580857292
candidate	2	mapAggregate	4	1024	10000	57734062272	2538487584
candidate	2	mapAggregate	5	1024	10000	57734062272	2559562333
native	2	mapAggregate	1	1536	10000	86601093408	2014608000
native	2	mapAggregate	2	1536	10000	86601093408	2058885000
native	2	mapAggregate	3	1536	10000	86601093408	2110278000
native	2	mapAggregate	4	1536	10000	86601093408	2061395000
native	2	mapAggregate	5	1536	10000	86601093408	2043352000
baseline	2	mapAggregate	1	768	10000	43300546704	2625157917
baseline	2	mapAggregate	2	768	10000	43300546704	2608003500
baseline	2	mapAggregate	3	768	10000	43300546704	2843528542
baseline	2	mapAggregate	4	768	10000	43300546704	2850079458
baseline	2	mapAggregate	5	768	10000	43300546704	2698030125
native	3	mapAggregate	1	1792	10000	101034608976	2270443000
native	3	mapAggregate	2	1536	10000	86601093408	2103591000
native	3	mapAggregate	3	1792	10000	101034608976	2344812000
native	3	mapAggregate	4	1792	10000	101034608976	2298429000
native	3	mapAggregate	5	1792	10000	101034608976	2293599000
baseline	3	mapAggregate	1	768	10000	43300546704	2593047125
baseline	3	mapAggregate	2	768	10000	43300546704	2580366917
baseline	3	mapAggregate	3	768	10000	43300546704	2582279625
baseline	3	mapAggregate	4	768	10000	43300546704	2570129708
baseline	3	mapAggregate	5	768	10000	43300546704	2573861708
candidate	3	mapAggregate	1	1024	10000	57734062272	2600363000
candidate	3	mapAggregate	2	1024	10000	57734062272	2660270708
candidate	3	mapAggregate	3	1024	10000	57734062272	2572327667
candidate	3	mapAggregate	4	1024	10000	57734062272	2536141167
candidate	3	mapAggregate	5	1024	10000	57734062272	2574587125
