engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	512	10000	28867031136	4104709541
baseline	1	mapAggregate	2	512	10000	28867031136	3141467333
baseline	1	mapAggregate	3	256	10000	14433515568	2373469583
baseline	1	mapAggregate	4	256	10000	14433515568	2123126250
baseline	1	mapAggregate	5	768	10000	43300546704	2611192792
candidate	1	mapAggregate	1	768	10000	43300546704	2698763750
candidate	1	mapAggregate	2	768	10000	43300546704	2676040708
candidate	1	mapAggregate	3	768	10000	43300546704	2859452083
candidate	1	mapAggregate	4	768	10000	43300546704	2952156041
candidate	1	mapAggregate	5	512	10000	28867031136	2096383209
native	1	mapAggregate	1	1280	10000	72167577840	2085120000
native	1	mapAggregate	2	1536	10000	86601093408	2340045000
native	1	mapAggregate	3	1280	10000	72167577840	2138716000
native	1	mapAggregate	4	1536	10000	86601093408	2113566000
native	1	mapAggregate	5	1536	10000	86601093408	2046838000
candidate	2	mapAggregate	1	768	10000	43300546704	2651650459
candidate	2	mapAggregate	2	768	10000	43300546704	2628895375
candidate	2	mapAggregate	3	768	10000	43300546704	2793828209
candidate	2	mapAggregate	4	768	10000	43300546704	2874679416
candidate	2	mapAggregate	5	768	10000	43300546704	2758916542
native	2	mapAggregate	1	1792	10000	101034608976	2274088000
native	2	mapAggregate	2	1536	10000	86601093408	2116581000
native	2	mapAggregate	3	1792	10000	101034608976	2323126000
native	2	mapAggregate	4	1280	10000	72167577840	2002503000
native	2	mapAggregate	5	1536	10000	86601093408	2044491000
baseline	2	mapAggregate	1	768	10000	43300546704	2624439292
baseline	2	mapAggregate	2	768	10000	43300546704	2630091041
baseline	2	mapAggregate	3	768	10000	43300546704	2746049542
baseline	2	mapAggregate	4	768	10000	43300546704	2607866000
baseline	2	mapAggregate	5	768	10000	43300546704	2608267750
native	3	mapAggregate	1	1792	10000	101034608976	2312968000
native	3	mapAggregate	2	1792	10000	101034608976	2318279000
native	3	mapAggregate	3	1536	10000	86601093408	2030569000
native	3	mapAggregate	4	1536	10000	86601093408	2012122000
native	3	mapAggregate	5	1536	10000	86601093408	2060641000
baseline	3	mapAggregate	1	768	10000	43300546704	2663374709
baseline	3	mapAggregate	2	768	10000	43300546704	2660459208
baseline	3	mapAggregate	3	768	10000	43300546704	2778338166
baseline	3	mapAggregate	4	768	10000	43300546704	3046699917
baseline	3	mapAggregate	5	768	10000	43300546704	2747746542
candidate	3	mapAggregate	1	768	10000	43300546704	2652839542
candidate	3	mapAggregate	2	768	10000	43300546704	2671229000
candidate	3	mapAggregate	3	768	10000	43300546704	2687195625
candidate	3	mapAggregate	4	768	10000	43300546704	2959070333
candidate	3	mapAggregate	5	768	10000	43300546704	2645455500
