engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1024	10000	57734062272	2584524458
baseline	1	mapAggregate	2	1024	10000	57734062272	2603375500
baseline	1	mapAggregate	3	1024	10000	57734062272	2499665041
baseline	1	mapAggregate	4	1024	10000	57734062272	2435007583
baseline	1	mapAggregate	5	1024	10000	57734062272	2437770000
candidate	1	mapAggregate	1	1024	10000	57734062272	2427453334
candidate	1	mapAggregate	2	768	10000	43300546704	2061888083
candidate	1	mapAggregate	3	768	10000	43300546704	2005151083
candidate	1	mapAggregate	4	1024	10000	57734062272	2455583583
candidate	1	mapAggregate	5	1024	10000	57734062272	2436614708
native	1	mapAggregate	1	1536	10000	86601093408	2195108000
native	1	mapAggregate	2	1792	10000	101034608976	2303682000
native	1	mapAggregate	3	1792	10000	101034608976	2285060000
native	1	mapAggregate	4	1792	10000	101034608976	2330510000
native	1	mapAggregate	5	1536	10000	86601093408	2117652000
candidate	2	mapAggregate	1	1024	10000	57734062272	2433128000
candidate	2	mapAggregate	2	1024	10000	57734062272	2438165333
candidate	2	mapAggregate	3	1024	10000	57734062272	2502917375
candidate	2	mapAggregate	4	1024	10000	57734062272	2424065459
candidate	2	mapAggregate	5	1024	10000	57734062272	2397117417
native	2	mapAggregate	1	1792	10000	101034608976	2317844000
native	2	mapAggregate	2	1792	10000	101034608976	2303659000
native	2	mapAggregate	3	1792	10000	101034608976	2280367000
native	2	mapAggregate	4	1792	10000	101034608976	2278254000
native	2	mapAggregate	5	1792	10000	101034608976	2285867000
baseline	2	mapAggregate	1	1024	10000	57734062272	2518560833
baseline	2	mapAggregate	2	1024	10000	57734062272	2503244583
baseline	2	mapAggregate	3	1024	10000	57734062272	2480746042
baseline	2	mapAggregate	4	1024	10000	57734062272	2509704458
baseline	2	mapAggregate	5	1024	10000	57734062272	2454666958
native	3	mapAggregate	1	1792	10000	101034608976	2283938000
native	3	mapAggregate	2	1792	10000	101034608976	2281359000
native	3	mapAggregate	3	1792	10000	101034608976	2313357000
native	3	mapAggregate	4	1536	10000	86601093408	2025070000
native	3	mapAggregate	5	1536	10000	86601093408	2062927000
baseline	3	mapAggregate	1	1024	10000	57734062272	2412713917
baseline	3	mapAggregate	2	1024	10000	57734062272	2412686125
baseline	3	mapAggregate	3	1024	10000	57734062272	2540442500
baseline	3	mapAggregate	4	1024	10000	57734062272	2453172541
baseline	3	mapAggregate	5	1024	10000	57734062272	2438412542
candidate	3	mapAggregate	1	1024	10000	57734062272	2374177625
candidate	3	mapAggregate	2	1024	10000	57734062272	2426948500
candidate	3	mapAggregate	3	1024	10000	57734062272	2447424875
candidate	3	mapAggregate	4	1024	10000	57734062272	2430513459
candidate	3	mapAggregate	5	1024	10000	57734062272	2646674000
