engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
thc-graal	1	sumLoop	1	45824	10000	2294867867520	2004539667
thc-graal	1	sumLoop	2	45824	10000	2294867867520	2003008792
thc-graal	1	sumLoop	3	45824	10000	2294867867520	2001785208
thc-graal	1	sumLoop	4	45824	10000	2294867867520	2002635334
thc-graal	1	sumLoop	5	45824	10000	2294867867520	2004017125
native-ghc	1	sumLoop	1	393216	10000	19692273991680	2000421000
native-ghc	1	sumLoop	2	401152	10000	20089709208960	2000797000
native-ghc	1	sumLoop	3	402944	10000	20179452645120	2000687000
native-ghc	1	sumLoop	4	401920	10000	20128170681600	2001062000
native-ghc	1	sumLoop	5	402944	10000	20179452645120	2000409000
thc-graal	2	sumLoop	1	46592	10000	2333329340160	2000967375
thc-graal	2	sumLoop	2	46848	10000	2346149831040	2008342459
thc-graal	2	sumLoop	3	46592	10000	2333329340160	2010582250
thc-graal	2	sumLoop	4	46848	10000	2346149831040	2005634500
thc-graal	2	sumLoop	5	46848	10000	2346149831040	2010001083
native-ghc	2	sumLoop	1	376064	10000	18833301102720	2001328000
native-ghc	2	sumLoop	2	376320	10000	18846121593600	2000444000
native-ghc	2	sumLoop	3	395776	10000	19820478900480	2000508000
native-ghc	2	sumLoop	4	402176	10000	20140991172480	2000311000
native-ghc	2	sumLoop	5	402944	10000	20179452645120	2000385000
thc-graal	3	sumLoop	1	46336	10000	2320508849280	2000342000
thc-graal	3	sumLoop	2	43264	10000	2166662958720	2001497875
thc-graal	3	sumLoop	3	46848	10000	2346149831040	2010719083
thc-graal	3	sumLoop	4	46592	10000	2333329340160	2000936500
thc-graal	3	sumLoop	5	46848	10000	2346149831040	2010583959
native-ghc	3	sumLoop	1	375296	10000	18794839630080	2000254000
native-ghc	3	sumLoop	2	375808	10000	18820480611840	2000539000
native-ghc	3	sumLoop	3	376064	10000	18833301102720	2000090000
native-ghc	3	sumLoop	4	384000	10000	19230736320000	2000464000
native-ghc	3	sumLoop	5	390656	10000	19564069082880	2000033000
thc-graal	1	fib	1	7168	12	230270208	2009571708
thc-graal	1	fib	2	7424	12	238494144	2026064166
thc-graal	1	fib	3	7424	12	238494144	2042785375
thc-graal	1	fib	4	7424	12	238494144	2011783834
thc-graal	1	fib	5	7680	12	246718080	2055833500
native-ghc	1	fib	1	14336	12	460540416	2006350000
native-ghc	1	fib	2	14336	12	460540416	2008006000
native-ghc	1	fib	3	14336	12	460540416	2006573000
native-ghc	1	fib	4	14336	12	460540416	2014857000
native-ghc	1	fib	5	14336	12	460540416	2009009000
thc-graal	2	fib	1	6912	12	222046272	2031098459
thc-graal	2	fib	2	6912	12	222046272	2035439459
thc-graal	2	fib	3	6912	12	222046272	2067058750
thc-graal	2	fib	4	6912	12	222046272	2014624667
thc-graal	2	fib	5	7168	12	230270208	2030317000
native-ghc	2	fib	1	14336	12	460540416	2016209000
native-ghc	2	fib	2	14336	12	460540416	2010986000
native-ghc	2	fib	3	14336	12	460540416	2011395000
