engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	768	10000	43300546704	2167067125
baseline	1	mapAggregate	2	768	10000	43300546704	2180054292
baseline	1	mapAggregate	3	768	10000	43300546704	2341578500
baseline	1	mapAggregate	4	768	10000	43300546704	2223360792
baseline	1	mapAggregate	5	768	10000	43300546704	2256012333
candidate	1	mapAggregate	1	1024	10000	57734062272	2507279375
candidate	1	mapAggregate	2	1024	10000	57734062272	2479160375
candidate	1	mapAggregate	3	1024	10000	57734062272	2484227167
candidate	1	mapAggregate	4	1024	10000	57734062272	2525229417
candidate	1	mapAggregate	5	1024	10000	57734062272	2476154167
native	1	mapAggregate	1	1792	10000	101034608976	2315713000
native	1	mapAggregate	2	1536	10000	86601093408	2145101000
native	1	mapAggregate	3	1792	10000	101034608976	2307998000
native	1	mapAggregate	4	1792	10000	101034608976	2270131000
native	1	mapAggregate	5	1792	10000	101034608976	2343171000
candidate	2	mapAggregate	1	1024	10000	57734062272	2434786250
candidate	2	mapAggregate	2	1024	10000	57734062272	2456349875
candidate	2	mapAggregate	3	1024	10000	57734062272	2535832625
candidate	2	mapAggregate	4	1024	10000	57734062272	2474322709
candidate	2	mapAggregate	5	1024	10000	57734062272	2444130917
native	2	mapAggregate	1	1792	10000	101034608976	2320090000
native	2	mapAggregate	2	1792	10000	101034608976	2317406000
native	2	mapAggregate	3	1792	10000	101034608976	2307411000
native	2	mapAggregate	4	1792	10000	101034608976	2255066000
native	2	mapAggregate	5	1792	10000	101034608976	2320743000
baseline	2	mapAggregate	1	768	10000	43300546704	2170104625
baseline	2	mapAggregate	2	768	10000	43300546704	2174013959
baseline	2	mapAggregate	3	768	10000	43300546704	2166184958
baseline	2	mapAggregate	4	768	10000	43300546704	2170858791
baseline	2	mapAggregate	5	768	10000	43300546704	2161530917
native	3	mapAggregate	1	1792	10000	101034608976	2318329000
native	3	mapAggregate	2	1792	10000	101034608976	2263096000
native	3	mapAggregate	3	1792	10000	101034608976	2210614000
native	3	mapAggregate	4	1792	10000	101034608976	2273271000
native	3	mapAggregate	5	1792	10000	101034608976	2223943000
baseline	3	mapAggregate	1	768	10000	43300546704	2197378958
baseline	3	mapAggregate	2	768	10000	43300546704	2122787042
baseline	3	mapAggregate	3	768	10000	43300546704	2120315667
baseline	3	mapAggregate	4	768	10000	43300546704	2111231250
baseline	3	mapAggregate	5	768	10000	43300546704	2119106083
candidate	3	mapAggregate	1	1024	10000	57734062272	2465187583
candidate	3	mapAggregate	2	1024	10000	57734062272	2477419833
candidate	3	mapAggregate	3	1024	10000	57734062272	2577986334
candidate	3	mapAggregate	4	1024	10000	57734062272	2552034125
candidate	3	mapAggregate	5	1024	10000	57734062272	2491871625
