engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1024	10000	57734062272	2473132417
baseline	1	mapAggregate	2	1024	10000	57734062272	2386734417
baseline	1	mapAggregate	3	1024	10000	57734062272	2356397209
baseline	1	mapAggregate	4	1024	10000	57734062272	2364683625
baseline	1	mapAggregate	5	1024	10000	57734062272	2386508917
candidate	1	mapAggregate	1	1024	10000	57734062272	2388537333
candidate	1	mapAggregate	2	1024	10000	57734062272	2416971416
candidate	1	mapAggregate	3	1024	10000	57734062272	2387112792
candidate	1	mapAggregate	4	1024	10000	57734062272	2405702000
candidate	1	mapAggregate	5	1024	10000	57734062272	2404927708
native	1	mapAggregate	1	1792	10000	101034608976	2258019000
native	1	mapAggregate	2	1792	10000	101034608976	2230840000
native	1	mapAggregate	3	1792	10000	101034608976	2238332000
native	1	mapAggregate	4	1792	10000	101034608976	2200868000
native	1	mapAggregate	5	1792	10000	101034608976	2270074000
candidate	2	mapAggregate	1	1024	10000	57734062272	2601699459
candidate	2	mapAggregate	2	1024	10000	57734062272	2398098042
candidate	2	mapAggregate	3	1024	10000	57734062272	2389988792
candidate	2	mapAggregate	4	1024	10000	57734062272	2510572041
candidate	2	mapAggregate	5	1024	10000	57734062272	2454619750
native	2	mapAggregate	1	1792	10000	101034608976	2318821000
native	2	mapAggregate	2	1792	10000	101034608976	2258784000
native	2	mapAggregate	3	1792	10000	101034608976	2290121000
native	2	mapAggregate	4	1536	10000	86601093408	2001874000
native	2	mapAggregate	5	1792	10000	101034608976	2318681000
baseline	2	mapAggregate	1	1024	10000	57734062272	2406661750
baseline	2	mapAggregate	2	1024	10000	57734062272	2390495333
baseline	2	mapAggregate	3	1024	10000	57734062272	2371684292
baseline	2	mapAggregate	4	1024	10000	57734062272	2383906417
baseline	2	mapAggregate	5	1024	10000	57734062272	2374266750
native	3	mapAggregate	1	1792	10000	101034608976	2281432000
native	3	mapAggregate	2	1792	10000	101034608976	2282101000
native	3	mapAggregate	3	1792	10000	101034608976	2254076000
native	3	mapAggregate	4	1792	10000	101034608976	2242864000
native	3	mapAggregate	5	1792	10000	101034608976	2257120000
baseline	3	mapAggregate	1	1024	10000	57734062272	2449252375
baseline	3	mapAggregate	2	1024	10000	57734062272	2397496416
baseline	3	mapAggregate	3	1024	10000	57734062272	2464478292
baseline	3	mapAggregate	4	1024	10000	57734062272	2409684583
baseline	3	mapAggregate	5	1024	10000	57734062272	2439801208
candidate	3	mapAggregate	1	1024	10000	57734062272	2357542000
candidate	3	mapAggregate	2	1024	10000	57734062272	2412726417
candidate	3	mapAggregate	3	1024	10000	57734062272	2407259250
candidate	3	mapAggregate	4	1024	10000	57734062272	2432859000
candidate	3	mapAggregate	5	1024	10000	57734062272	2487334541
