engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1280	10000	72167577840	2028532421
baseline	1	mapAggregate	2	1280	10000	72167577840	2027575255
baseline	1	mapAggregate	3	1280	10000	72167577840	2027881602
baseline	1	mapAggregate	4	1280	10000	72167577840	2027429908
baseline	1	mapAggregate	5	1280	10000	72167577840	2027780716
candidate	1	mapAggregate	1	1280	10000	72167577840	2016573265
candidate	1	mapAggregate	2	1280	10000	72167577840	2020787386
candidate	1	mapAggregate	3	1280	10000	72167577840	2021916794
candidate	1	mapAggregate	4	1280	10000	72167577840	2022495545
candidate	1	mapAggregate	5	1280	10000	72167577840	2024978145
native	1	mapAggregate	1	1536	10000	86601093408	2060207843
native	1	mapAggregate	2	1536	10000	86601093408	2058638740
native	1	mapAggregate	3	1536	10000	86601093408	2051117824
native	1	mapAggregate	4	1536	10000	86601093408	2059697635
native	1	mapAggregate	5	1536	10000	86601093408	2069809383
candidate	2	mapAggregate	1	1280	10000	72167577840	2025338079
candidate	2	mapAggregate	2	1280	10000	72167577840	2024029316
candidate	2	mapAggregate	3	1280	10000	72167577840	2019569166
candidate	2	mapAggregate	4	1280	10000	72167577840	2022683782
candidate	2	mapAggregate	5	1280	10000	72167577840	2018937390
native	2	mapAggregate	1	1536	10000	86601093408	2066041149
native	2	mapAggregate	2	1536	10000	86601093408	2066478947
native	2	mapAggregate	3	1536	10000	86601093408	2065512392
native	2	mapAggregate	4	1536	10000	86601093408	2067871970
native	2	mapAggregate	5	1536	10000	86601093408	2066007243
baseline	2	mapAggregate	1	1280	10000	72167577840	2029100078
baseline	2	mapAggregate	2	1280	10000	72167577840	2031478432
baseline	2	mapAggregate	3	1280	10000	72167577840	2029861651
baseline	2	mapAggregate	4	1280	10000	72167577840	2032208749
baseline	2	mapAggregate	5	1280	10000	72167577840	2036107840
native	3	mapAggregate	1	1536	10000	86601093408	2071841798
native	3	mapAggregate	2	1536	10000	86601093408	2053892048
native	3	mapAggregate	3	1536	10000	86601093408	2055171851
native	3	mapAggregate	4	1536	10000	86601093408	2055141310
native	3	mapAggregate	5	1536	10000	86601093408	2054844084
baseline	3	mapAggregate	1	1280	10000	72167577840	2053850639
baseline	3	mapAggregate	2	1280	10000	72167577840	2031605707
baseline	3	mapAggregate	3	1280	10000	72167577840	2036558814
baseline	3	mapAggregate	4	1280	10000	72167577840	2032361091
baseline	3	mapAggregate	5	1280	10000	72167577840	2033572047
candidate	3	mapAggregate	1	1280	10000	72167577840	2020557825
candidate	3	mapAggregate	2	1280	10000	72167577840	2018602849
candidate	3	mapAggregate	3	1280	10000	72167577840	2014195770
candidate	3	mapAggregate	4	1280	10000	72167577840	2016748845
candidate	3	mapAggregate	5	1280	10000	72167577840	2021475458
