engine	fork	entry	sample	repetitions	inputBase	checksum	elapsedNs
baseline	1	mapAggregate	1	1280	10000	72167577840	2038200063
baseline	1	mapAggregate	2	1280	10000	72167577840	2026962142
baseline	1	mapAggregate	3	1280	10000	72167577840	2032989165
baseline	1	mapAggregate	4	1280	10000	72167577840	2031283876
baseline	1	mapAggregate	5	1280	10000	72167577840	2033816337
candidate	1	mapAggregate	1	1280	10000	72167577840	2016614235
candidate	1	mapAggregate	2	1280	10000	72167577840	2008974479
candidate	1	mapAggregate	3	1280	10000	72167577840	2011298118
candidate	1	mapAggregate	4	1280	10000	72167577840	2063005710
candidate	1	mapAggregate	5	1280	10000	72167577840	2014671409
native	1	mapAggregate	1	1536	10000	86601093408	2063833079
native	1	mapAggregate	2	1536	10000	86601093408	2064971797
native	1	mapAggregate	3	1536	10000	86601093408	2063130762
native	1	mapAggregate	4	1536	10000	86601093408	2060022138
native	1	mapAggregate	5	1536	10000	86601093408	2060668166
candidate	2	mapAggregate	1	1280	10000	72167577840	2016764243
candidate	2	mapAggregate	2	1280	10000	72167577840	2022939799
candidate	2	mapAggregate	3	1280	10000	72167577840	2017876908
candidate	2	mapAggregate	4	1280	10000	72167577840	2020945711
candidate	2	mapAggregate	5	1280	10000	72167577840	2049498019
native	2	mapAggregate	1	1536	10000	86601093408	2050456306
native	2	mapAggregate	2	1536	10000	86601093408	2052037560
native	2	mapAggregate	3	1536	10000	86601093408	2051792286
native	2	mapAggregate	4	1536	10000	86601093408	2055434533
native	2	mapAggregate	5	1536	10000	86601093408	2059687058
baseline	2	mapAggregate	1	1280	10000	72167577840	2030333905
baseline	2	mapAggregate	2	1280	10000	72167577840	2030013782
baseline	2	mapAggregate	3	1280	10000	72167577840	2033835699
baseline	2	mapAggregate	4	1280	10000	72167577840	2032734614
baseline	2	mapAggregate	5	1280	10000	72167577840	2029742522
native	3	mapAggregate	1	1536	10000	86601093408	2062986471
native	3	mapAggregate	2	1536	10000	86601093408	2060133715
native	3	mapAggregate	3	1536	10000	86601093408	2057236010
native	3	mapAggregate	4	1536	10000	86601093408	2059958952
native	3	mapAggregate	5	1536	10000	86601093408	2063298396
baseline	3	mapAggregate	1	1280	10000	72167577840	2034494027
baseline	3	mapAggregate	2	1280	10000	72167577840	2034076400
baseline	3	mapAggregate	3	1280	10000	72167577840	2038806102
baseline	3	mapAggregate	4	1280	10000	72167577840	2033581164
baseline	3	mapAggregate	5	1280	10000	72167577840	2034274213
candidate	3	mapAggregate	1	1280	10000	72167577840	2015811279
candidate	3	mapAggregate	2	1280	10000	72167577840	2010426544
candidate	3	mapAggregate	3	1280	10000	72167577840	2016194536
candidate	3	mapAggregate	4	1280	10000	72167577840	2015559212
candidate	3	mapAggregate	5	1280	10000	72167577840	2011351303
